t,traj_0,traj_1,traj_2,traj_3,traj_4
0.000000000000000000e+00,1.000000000000925482e+00,1.000000000000867084e+00,1.000000000000830447e+00,1.000000000000607736e+00,1.000000000000974776e+00
2.000000000000000042e-02,9.961817146849230031e-01,9.981790062061454138e-01,9.885841603674886402e-01,9.966864152565649837e-01,9.986764164582097036e-01
4.000000000000000083e-02,9.945673549040617845e-01,9.969465175745033658e-01,9.655507873140467545e-01,9.958058361668213898e-01,9.992490640696665150e-01
5.999999999999999778e-02,9.948171351244313731e-01,9.984265740537614509e-01,9.951750332790617604e-01,9.892237826265868339e-01,9.990508863831030206e-01
8.000000000000000167e-02,9.911318659700102396e-01,9.970968005296757530e-01,9.062098418165861480e-01,9.937545278670937288e-01,9.959579271060760020e-01
1.000000000000000056e-01,9.926404210070174372e-01,9.957420081495558239e-01,8.354194447768894527e-01,9.808659933348553572e-01,9.930226277506202237e-01
1.199999999999999956e-01,9.960656236982015077e-01,9.927456527264162389e-01,9.434433322021369417e-01,9.856414257901456866e-01,9.868494546796644507e-01
1.400000000000000133e-01,9.924844200839503250e-01,9.862927733374896588e-01,8.017986204475967549e-01,9.750364759285367056e-01,9.763578451338469355e-01
1.600000000000000033e-01,9.899302815178436799e-01,9.808651384452033994e-01,6.905049694219979051e-01,9.753430297778534763e-01,9.630304903912055847e-01
1.799999999999999933e-01,9.870926115180815863e-01,9.719561563383878333e-01,7.984485908797146481e-01,9.638972355138820669e-01,9.457334757816262538e-01
2.000000000000000111e-01,9.817784411155197066e-01,9.599122144635284792e-01,7.296350108846364479e-01,9.466081357376139316e-01,9.231944211011652301e-01
2.200000000000000011e-01,9.825821822388424165e-01,9.466031015337862398e-01,6.134346802955856770e-01,9.301111702437182549e-01,8.982084698786619859e-01
2.399999999999999911e-01,9.828396117746235339e-01,9.317263501428523220e-01,6.240884477431906108e-01,9.103618640262972628e-01,8.697176749281995134e-01
2.600000000000000089e-01,9.778125287688873568e-01,9.142018429648682831e-01,6.726644444110013721e-01,8.851204918263961829e-01,8.376612543612100836e-01
2.800000000000000266e-01,9.761920188200144954e-01,8.963161875171177240e-01,5.831410301997863588e-01,8.590592716956479968e-01,8.062997428374950593e-01
2.999999999999999889e-01,9.694073412242181220e-01,8.755460960557893690e-01,5.041066418883889400e-01,8.464923190029628453e-01,7.737865777321777383e-01
3.200000000000000067e-01,9.571455331017635348e-01,8.524683663845504800e-01,5.761123274537878203e-01,8.144980586584740223e-01,7.419319212206697545e-01
3.400000000000000244e-01,9.491607403239326057e-01,8.319603491983824650e-01,5.377346452790437992e-01,7.932652701474125490e-01,7.136405653573927310e-01
3.599999999999999867e-01,9.397851762416852273e-01,8.090088201909239052e-01,4.698983885029308638e-01,7.497467282352294760e-01,6.874465151199152801e-01
3.800000000000000044e-01,9.291201647441074130e-01,7.868206338029102298e-01,5.085841024528732213e-01,7.339625618476627311e-01,6.649811211071533501e-01
4.000000000000000222e-01,9.227262867561292214e-01,7.653494924304165004e-01,5.302006585950538309e-01,7.086432882980707726e-01,6.473981763274809786e-01
4.199999999999999845e-01,9.117614343102922181e-01,7.433281220187949456e-01,5.028198678270300315e-01,6.885023647652758205e-01,6.333266834522285338e-01
4.400000000000000022e-01,9.005923885907485271e-01,7.222069716882300039e-01,4.902647049262399692e-01,6.746753251844236354e-01,6.235893439801871718e-01
4.600000000000000200e-01,8.968459904744343625e-01,7.023430166895530125e-01,5.654759747155019278e-01,6.776900675247079509e-01,6.184816216159050306e-01
4.799999999999999822e-01,8.915517962067087687e-01,6.847181007688015741e-01,5.637088507572383111e-01,6.767497411259600915e-01,6.156585480400680321e-01
5.000000000000000000e-01,8.887361849549212378e-01,6.695207636041363708e-01,5.509518474063217486e-01,6.629312668818359011e-01,6.154613688570297336e-01
5.200000000000000178e-01,8.885937230272130671e-01,6.578249837129277466e-01,6.864657061014978190e-01,6.525233677110779951e-01,6.170600004851045650e-01
5.400000000000000355e-01,8.809971762205525136e-01,6.468783262455894967e-01,6.482172426912009566e-01,6.604761617534841145e-01,6.183688387673292874e-01
5.600000000000000533e-01,8.708045759263487451e-01,6.400062219416492448e-01,6.150022402056151138e-01,6.667357059520216955e-01,6.196771224002661782e-01
5.799999999999999600e-01,8.565521203559990360e-01,6.354388525504766072e-01,7.429279016405845315e-01,6.611290959222436703e-01,6.206905571018437318e-01
5.999999999999999778e-01,8.322722628293265368e-01,6.310828871948761520e-01,7.005947927839955014e-01,6.664716353977988561e-01,6.191619535188682688e-01
6.199999999999999956e-01,8.065533463587054586e-01,6.301731944970451194e-01,6.563255642687634284e-01,6.895402595713027161e-01,6.161178768056885247e-01
