t,avg_L
0.000000000000000000e+00,9.999999999995673461e-01
2.000000000000000042e-02,8.217502520442786507e-01
4.000000000000000083e-02,7.606963620433571105e-01
5.999999999999999778e-02,7.268563655756247188e-01
8.000000000000000167e-02,8.029560940098158239e-01
1.000000000000000056e-01,9.426130688764631227e-01
1.199999999999999956e-01,7.889005533074995302e-01
1.400000000000000133e-01,8.132059164655317529e-01
1.600000000000000033e-01,7.880418751422882950e-01
1.799999999999999933e-01,7.494318131222177382e-01
2.000000000000000111e-01,7.908726775083267935e-01
2.200000000000000011e-01,7.555610257851929079e-01
2.399999999999999911e-01,6.782073558775728594e-01
2.600000000000000089e-01,6.805898111949415519e-01
2.800000000000000266e-01,6.056737089067985025e-01
2.999999999999999889e-01,7.682062259711033292e-01
3.200000000000000067e-01,6.824062389086228420e-01
3.400000000000000244e-01,7.524057599652860251e-01
3.599999999999999867e-01,6.754837595742378964e-01
3.800000000000000044e-01,6.264146078554668762e-01
4.000000000000000222e-01,5.789677601757885483e-01
4.199999999999999845e-01,6.073699014574331922e-01
4.400000000000000022e-01,6.710238384349852536e-01
4.600000000000000200e-01,5.811561415519965745e-01
4.799999999999999822e-01,5.678410959482378395e-01
5.000000000000000000e-01,5.549144534514617311e-01
5.200000000000000178e-01,5.874806915328907309e-01
5.400000000000000355e-01,5.392256493426103026e-01
5.600000000000000533e-01,5.444693636672899295e-01
5.799999999999999600e-01,6.147738003580783817e-01
5.999999999999999778e-01,5.731488234650605751e-01
6.199999999999999956e-01,6.203720155393946944e-01
6.400000000000000133e-01,5.704153434664444022e-01
6.600000000000000311e-01,5.695449158710227389e-01
6.800000000000000488e-01,5.907669932484184150e-01
7.000000000000000666e-01,5.578683007638993718e-01
7.199999999999999734e-01,4.849400120347981402e-01
7.399999999999999911e-01,5.841949922007365625e-01
7.600000000000000089e-01,5.707616049936735658e-01
7.800000000000000266e-01,5.350410539394618858e-01
8.000000000000000444e-01,5.001867498666380252e-01
8.200000000000000622e-01,4.143479338720887917e-01
8.399999999999999689e-01,3.882929725711237179e-01
8.599999999999999867e-01,4.029476575625544621e-01
8.800000000000000044e-01,3.812610763189771546e-01
9.000000000000000222e-01,3.535174636295611017e-01
9.200000000000000400e-01,3.332447007176679299e-01
9.400000000000000577e-01,2.501985716155567530e-01
9.599999999999999645e-01,2.782421775398285502e-01
9.799999999999999822e-01,1.956611470645000517e-01
1.000000000000000000e+00,2.211049480804553047e-01
1.020000000000000018e+00,2.125897401451647128e-01
1.040000000000000036e+00,1.519009146849181202e-01
1.060000000000000053e+00,1.657426449446788297e-01
1.080000000000000071e+00,1.375517966185133834e-01
