t,avg_L
0.000000000000000000e+00,9.999999999999444888e-01
1.000000000000000021e-02,7.930803887921452633e-01
2.000000000000000042e-02,8.452158128728779474e-01
2.999999999999999889e-02,8.161185696654467137e-01
4.000000000000000083e-02,8.310399828360383045e-01
5.000000000000000278e-02,6.861750341338908044e-01
5.999999999999999778e-02,8.619087484899076168e-01
7.000000000000000666e-02,8.806914466957902476e-01
8.000000000000000167e-02,7.527572928880722491e-01
8.999999999999999667e-02,8.922962608019758823e-01
1.000000000000000056e-01,7.869168546336562375e-01
1.100000000000000006e-01,7.243539476167937252e-01
1.199999999999999956e-01,7.090113506756261508e-01
1.300000000000000044e-01,7.889093787622838416e-01
1.400000000000000133e-01,1.492377989458276488e+00
1.499999999999999944e-01,6.599271913269065815e-01
1.600000000000000033e-01,8.357618202349113012e-01
1.700000000000000122e-01,8.313524736563389084e-01
1.799999999999999933e-01,8.209594749847528572e-01
1.900000000000000022e-01,7.327164089857585161e-01
2.000000000000000111e-01,7.505956010174777981e-01
2.099999999999999922e-01,8.735331122718501540e-01
2.200000000000000011e-01,9.569986146346082245e-01
2.300000000000000100e-01,7.556182485260785064e-01
2.399999999999999911e-01,7.981338257282004633e-01
2.500000000000000000e-01,6.537085529820680918e-01
2.600000000000000089e-01,9.986404746242639741e-01
2.700000000000000178e-01,7.725432001358841783e-01
2.800000000000000266e-01,6.675188772593976250e-01
2.899999999999999800e-01,8.744209275191805464e-01
2.999999999999999889e-01,7.465952674933307165e-01
3.099999999999999978e-01,7.762993457441923484e-01
3.200000000000000067e-01,7.510647426983438901e-01
3.300000000000000155e-01,6.875785951469399748e-01
3.400000000000000244e-01,8.313791895788809061e-01
3.500000000000000333e-01,6.909245653332235504e-01
3.599999999999999867e-01,7.508255507388369443e-01
3.699999999999999956e-01,7.945781637813453813e-01
3.800000000000000044e-01,5.791258414688671419e-01
3.900000000000000133e-01,7.178540777015729457e-01
4.000000000000000222e-01,7.011355498784104245e-01
4.100000000000000311e-01,8.407020730050198676e-01
4.199999999999999845e-01,8.330139426807974257e-01
4.299999999999999933e-01,6.222494218588923154e-01
4.400000000000000022e-01,6.374637438342212192e-01
4.500000000000000111e-01,6.523905172761039761e-01
4.600000000000000200e-01,7.416561068543281454e-01
4.700000000000000289e-01,7.368808104275643700e-01
4.799999999999999822e-01,5.675115050111222414e-01
4.899999999999999911e-01,7.554336929796736655e-01
5.000000000000000000e-01,5.554743928529907171e-01
5.100000000000000089e-01,6.022148279542156590e-01
5.200000000000000178e-01,6.579290028825390824e-01
5.300000000000000266e-01,6.226508855886272453e-01
5.400000000000000355e-01,7.735685784028909495e-01
5.500000000000000444e-01,4.709175076831114137e-01
5.600000000000000533e-01,5.578254868710696979e-01
5.700000000000000622e-01,6.775242140189704498e-01
5.799999999999999600e-01,4.571830908799989768e-01
5.899999999999999689e-01,5.623057734418663856e-01
5.999999999999999778e-01,5.292701190977849857e-01
6.099999999999999867e-01,5.512824375598461835e-01
6.199999999999999956e-01,6.651207809964569950e-01
6.300000000000000044e-01,4.473446069543560721e-01
6.400000000000000133e-01,5.787361491019069604e-01
6.500000000000000222e-01,4.811936902702276808e-01
6.600000000000000311e-01,5.030317267825059613e-01
6.700000000000000400e-01,4.698754751825360287e-01
6.800000000000000488e-01,4.280507919233856873e-01
6.900000000000000577e-01,5.403948674116673123e-01
7.000000000000000666e-01,4.692004716872824055e-01
7.099999999999999645e-01,4.140354859671208643e-01
7.199999999999999734e-01,5.102153177917337912e-01
7.299999999999999822e-01,3.142466355006232614e-01
7.399999999999999911e-01,4.992955413220729888e-01
7.500000000000000000e-01,3.594717004845481290e-01
7.600000000000000089e-01,3.892087981017292586e-01
7.700000000000000178e-01,5.153265479884229228e-01
7.800000000000000266e-01,3.460024613278540051e-01
7.900000000000000355e-01,3.825132847892525612e-01
8.000000000000000444e-01,3.634483509294725856e-01
8.100000000000000533e-01,3.535152889753840899e-01
8.200000000000000622e-01,3.919809318542363252e-01
8.300000000000000711e-01,3.195323834359293791e-01
8.399999999999999689e-01,3.895658108969203282e-01
8.499999999999999778e-01,3.571397093661474176e-01
8.599999999999999867e-01,3.171601232135868864e-01
8.699999999999999956e-01,3.305867425396831205e-01
8.800000000000000044e-01,3.589148426728387409e-01
8.900000000000000133e-01,4.066058236919852797e-01
9.000000000000000222e-01,2.878640667840549616e-01
9.100000000000000311e-01,2.458041890865124701e-01
9.200000000000000400e-01,2.599963644374625460e-01
9.300000000000000488e-01,2.381898030459968507e-01
9.400000000000000577e-01,2.770087342849811840e-01
9.500000000000000666e-01,2.313770156612974527e-01
9.599999999999999645e-01,2.158838728243528404e-01
9.699999999999999734e-01,3.200591178664702330e-01
9.799999999999999822e-01,2.175513957445031066e-01
9.899999999999999911e-01,2.149639485493584634e-01
1.000000000000000000e+00,2.507310422570441788e-01
1.010000000000000009e+00,2.224221456528437946e-01
1.020000000000000018e+00,2.348627000576224977e-01
1.030000000000000027e+00,1.715297117775971270e-01
1.040000000000000036e+00,1.927438009560366039e-01
1.050000000000000044e+00,2.299971545421034547e-01
1.060000000000000053e+00,2.099400274532028099e-01
1.070000000000000062e+00,1.599875743964609132e-01
1.080000000000000071e+00,1.317343412875180420e-01
1.090000000000000080e+00,1.903116688579368221e-01
1.100000000000000089e+00,1.610051426514838846e-01
1.110000000000000098e+00,1.411541518692522312e-01
1.120000000000000107e+00,1.699373923785660323e-01
1.130000000000000115e+00,1.311361720353187432e-01
1.140000000000000124e+00,1.342192393913770321e-01
1.150000000000000133e+00,1.225300230847629762e-01
1.159999999999999920e+00,1.218161650101024229e-01
1.169999999999999929e+00,2.011607837070372162e-01
1.179999999999999938e+00,1.329148987765454981e-01
1.189999999999999947e+00,1.267269241622404063e-01
1.199999999999999956e+00,1.151014909514001539e-01
1.209999999999999964e+00,1.012783281553891190e-01
1.219999999999999973e+00,8.427985372725360635e-02
1.229999999999999982e+00,9.706540176022421251e-02
1.239999999999999991e+00,9.979113524244193068e-02
1.250000000000000000e+00,1.117492334077864191e-01
1.260000000000000009e+00,9.322482488630941255e-02
1.270000000000000018e+00,9.417003327762570042e-02
1.280000000000000027e+00,9.669086004107535492e-02
1.290000000000000036e+00,9.021337774957677302e-02
1.300000000000000044e+00,7.341970310602981276e-02
1.310000000000000053e+00,8.542430717070151336e-02
1.320000000000000062e+00,6.482339803853770510e-02
1.330000000000000071e+00,7.676317164116155944e-02
1.340000000000000080e+00,7.246227809817494536e-02
1.350000000000000089e+00,6.480528356625464559e-02
1.360000000000000098e+00,6.295193442347558899e-02
1.370000000000000107e+00,7.275387438732500156e-02
1.380000000000000115e+00,6.855376868456482253e-02
1.390000000000000124e+00,6.171392547788374233e-02
1.400000000000000133e+00,5.289816277404062878e-02
1.409999999999999920e+00,5.603809491336787796e-02
1.419999999999999929e+00,5.728774496241001435e-02
1.429999999999999938e+00,4.537785513284801897e-02
1.439999999999999947e+00,4.586639592608172250e-02
1.449999999999999956e+00,4.239367794481242041e-02
1.459999999999999964e+00,4.134802956938968266e-02
1.469999999999999973e+00,3.897735962049463099e-02
1.479999999999999982e+00,3.713313510521783212e-02
1.489999999999999991e+00,3.571935565713056648e-02
1.500000000000000000e+00,2.870215953081268340e-02
1.510000000000000009e+00,3.377642432387568255e-02
1.520000000000000018e+00,3.192309567209691140e-02
1.530000000000000027e+00,3.066181238778540458e-02
1.540000000000000036e+00,2.296914629120670390e-02
1.550000000000000044e+00,2.095084449532274434e-02
1.560000000000000053e+00,2.251788371398197319e-02
1.570000000000000062e+00,1.801508142927788977e-02
1.580000000000000071e+00,1.901208749271520587e-02
1.590000000000000080e+00,1.878237045702281505e-02
1.600000000000000089e+00,1.802148214337528573e-02
1.610000000000000098e+00,1.622386831470594079e-02
1.620000000000000107e+00,1.223007000769075342e-02
1.630000000000000115e+00,1.266652002700819832e-02
1.640000000000000124e+00,1.274519742981247011e-02
1.650000000000000133e+00,1.545225000457004644e-02
1.660000000000000142e+00,1.156380679525324112e-02
1.669999999999999929e+00,1.103739667669507638e-02
1.679999999999999938e+00,9.825558036440694074e-03
1.689999999999999947e+00,1.027710708479154939e-02
1.699999999999999956e+00,1.387266800563732513e-02
1.709999999999999964e+00,1.009903944637089747e-02
1.719999999999999973e+00,8.767149898269007910e-03
1.729999999999999982e+00,8.288636351743127947e-03
1.739999999999999991e+00,8.793678911273888898e-03
1.750000000000000000e+00,8.594832016007162775e-03
1.760000000000000009e+00,8.611287741175355920e-03
1.770000000000000018e+00,1.139242966838924752e-02
1.780000000000000027e+00,6.843260078697573079e-03
1.790000000000000036e+00,7.791186403278799535e-03
1.800000000000000044e+00,7.835868416398975370e-03
1.810000000000000053e+00,6.354092994880796222e-03
1.820000000000000062e+00,6.355282718656252855e-03
1.830000000000000071e+00,6.097878917450410066e-03
1.840000000000000080e+00,6.200402535655310729e-03
1.850000000000000089e+00,7.981563957018159711e-03
1.860000000000000098e+00,5.482408595021961636e-03
1.870000000000000107e+00,6.091611396704226140e-03
1.880000000000000115e+00,5.794134314890393538e-03
1.890000000000000124e+00,5.129322554187212141e-03
1.900000000000000133e+00,4.567367099362008333e-03
1.910000000000000142e+00,5.720252685023177394e-03
1.919999999999999929e+00,5.085045943368934895e-03
1.929999999999999938e+00,4.290858880191974686e-03
1.939999999999999947e+00,4.702791173165700098e-03
1.949999999999999956e+00,4.327458831906954087e-03
1.959999999999999964e+00,3.966197229697052476e-03
1.969999999999999973e+00,3.739818227374948952e-03
1.979999999999999982e+00,4.060682878370906745e-03
1.989999999999999991e+00,3.343018875187999013e-03
2.000000000000000000e+00,2.756395206418308687e-03
