t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
0.000000000000000000e+00,9.999999999993792743e-01,9.999999999983992804e-01,9.999999999995214939e-01,9.999999999985028643e-01,9.999999999989988009e-01,9.999999999992257305e-01,9.999999999990858424e-01,9.999999999988529176e-01,9.999999999990167865e-01,9.999999999989948041e-01
1.000000000000000021e-02,4.254997262358137800e-01,6.619314385820523373e-03,1.402188517750833224e-02,5.973406966861874364e-07,1.251821602365493172e-03,3.460631722834555529e-02,6.705711586071113131e-03,8.976362951649166470e-04,-6.708878248388627146e-05,7.882422299378797834e-03
2.000000000000000042e-02,4.354289730981868445e-01,2.933278128742896132e-02,4.926343910893522110e-02,-6.232185608801282540e-08,3.313648838031371929e-03,3.404640965610234438e-01,3.344846471652509047e-05,2.531336231362149407e-03,1.320731365888229013e-04,3.181980502344281675e-03
2.999999999999999889e-02,4.318835826021665270e-01,6.354962096905311664e-02,5.606304884488096801e-02,-2.058603610160718997e-05,1.611618294469520721e-02,6.217620412314806694e-02,3.042193994294245789e-03,1.055275290937255457e-04,-6.444650098042138545e-04,1.016134021576350632e-01
4.000000000000000083e-02,2.459609710484311484e-01,9.645081347702982519e-03,8.342732532107344223e-02,1.770724796482017055e-05,5.139277424181428744e-01,3.969045205706331347e-01,1.675738279933655650e-01,6.358825855116705117e-02,1.253483843356350202e-04,7.760169307796467054e-03
5.000000000000000278e-02,2.016251235956621202e-01,5.182774426182495953e-02,7.941107690376265904e-03,-9.065471515721034265e-09,2.193739714606783141e-04,6.485901269184508877e-02,6.209315105371669696e-03,5.306567285957040914e-02,2.587528918576689936e-04,8.968078783147637872e-03
5.999999999999999778e-02,3.715698531170470997e-01,1.963583280845136031e-02,1.007962787423684163e-02,1.252193725483696653e+03,-9.194134559097925583e-04,1.562331103441167990e-01,-4.900101088760663338e-03,8.494400144366043900e-04,-1.227467226113628028e-04,6.161178922287396421e-03
7.000000000000000666e-02,4.258060944002904358e-01,3.146196491594110273e-02,2.313838441452423580e-02,-1.949411374854262580e-09,7.810906331806963959e-05,4.364390221247607671e-02,-4.623003276037420013e-03,1.530839818037565405e-03,-1.092080757425242473e-04,9.955185948128665585e-02
8.000000000000000167e-02,1.399038255754798121e-01,2.192001939660777332e-02,4.030557136299283208e-03,6.073552470607987253e-07,8.918712844798778322e-04,9.667971378115434999e-02,-3.501927260470859456e-03,6.907452212007795774e-04,3.026224968547833400e-04,6.069395555146758769e-02
8.999999999999999667e-02,3.672949191102335420e-01,6.766253835198884903e-02,1.290623887874091727e-02,4.184644240612887203e-07,1.552569073330395313e-03,3.630694663374992720e-02,-1.235195300030689659e-03,9.061622500838244221e-03,4.682091544565712064e-04,2.008743179595316730e-02
1.000000000000000056e-01,3.840701022139575982e-01,1.321631671368017624e-02,1.720873839001593394e-02,3.005363721239795621e-07,7.825784911736049631e-05,3.992105550657299579e-02,-6.887060557842912241e-04,6.799070953968414099e-02,-2.180091553316251031e-06,5.358180503785277098e-03
1.100000000000000006e-01,4.758666891480209937e-01,1.708858962564226494e-02,1.913800366602546876e-01,1.561513967451140733e-03,6.102964448926664898e-02,6.748801730139690480e-02,4.336858462944317288e-02,-4.485774902719112944e-01,-4.426122767160571152e-05,7.157205975825270405e-02
1.199999999999999956e-01,3.622049762334997314e-01,1.629208039484324744e-01,5.925206585082154476e-02,-1.224155603401011439e-03,-8.955455904703583028e-06,9.816783525497049800e-02,1.041746566959774085e-02,3.515216825436467268e-03,-5.957582467244150384e-04,8.918291597591632494e-03
1.300000000000000044e-01,4.282044422595308042e-01,1.819030188518343857e-03,3.122330974691236993e-02,4.099788791093149280e-07,1.080047872438708511e-03,5.294693990457295663e-02,-6.108839388480897647e-04,1.445462402011383173e-03,4.094152715319919147e-05,2.127034181984884496e-03
1.400000000000000133e-01,6.444127228181599776e-01,8.484591975247507412e-03,2.203873002539502926e-02,5.328523347209456418e+00,2.623228908534160683e-03,1.269042749171516993e-01,1.595558332592278070e-02,1.518717581928998202e-03,6.935284098942749937e-04,5.558529947260745091e-03
1.499999999999999944e-01,4.818951547825632842e-01,6.139034325129635872e-02,-9.495685401789172414e-06,-1.297341027320622644e-10,3.142774039678110712e-03,5.942094470996297714e-03,-5.028047817498014493e-03,-4.106304728952737439e-03,-3.577891026830436888e-03,4.870713527204171417e-02
1.600000000000000033e-01,5.966169635349691802e-01,7.347215591904067249e-03,1.218777746234730314e-02,3.161908940300049986e-01,2.490006726266898954e-03,2.247090121663791185e-01,4.109107776935166348e-04,-5.335897766211196089e-03,1.978846710546259402e+01,1.634275879621702177e-02
1.700000000000000122e-01,3.501374919765501414e-01,6.817427157153907978e-03,2.103428696970304629e-02,-9.639827350136081155e-08,2.549632849572924190e-03,1.019076735088524609e-02,-1.487245225657453720e-02,-1.929140840049324221e-02,6.178904065751464891e-01,1.853363878353822894e-02
1.799999999999999933e-01,1.668267007299262250e-01,4.649613263855382345e-02,-3.678649699345051902e-03,4.684639461792765023e-10,5.117297733349016964e-04,1.470487582522668202e-01,-3.065635366113359395e-03,1.280882498091622966e-03,8.250223229625176791e-02,6.164207255880670144e-02
1.900000000000000022e-01,3.627325042286762558e-01,-6.368791106835060278e-03,1.852576271424956345e-01,-4.174412534491288751e-05,-2.890218468131197302e-02,1.243000199519180837e-01,-1.723795816254604540e+00,-4.559811242222024975e-03,-7.083155759201319700e-03,4.150212290438912849e-02
2.000000000000000111e-01,4.787385778187049912e-01,1.852676364655824956e-02,4.036228048406562824e-02,3.420408115342354338e-08,1.206448965621661888e-04,1.097974513430206439e-01,-6.359520126949557220e-04,2.128619633676080789e-03,-1.518526109374517116e-03,9.906434573981050609e-03
2.099999999999999922e-01,2.031313005520677673e-01,3.640471852071175407e-02,1.628617987633202216e-02,3.355426972270072290e-04,-2.330493771923665067e-03,1.909557632982624709e-01,-1.613944117226029817e+00,1.679952851093337697e-03,-2.476463031162368092e-05,2.823385677458295061e-03
2.200000000000000011e-01,2.366701407103057320e-01,9.657123174338445859e-02,1.252495674433777009e-03,-2.413363832130130745e-05,1.796111460419244632e-02,9.021581252473376278e-02,-5.372182264091253726e-03,-9.562810462674995252e-03,-5.349392024669834134e-07,7.859160971844919227e-03
2.300000000000000100e-01,4.782715004518292012e-01,1.000565924694757532e-03,3.912130707999882800e-02,-1.372155101192124860e-01,-1.549275975416534350e-04,3.881395165561594973e-02,1.011346339881857431e-01,-1.452572564967024096e-02,-1.800153214666197390e-04,3.674465999719816328e-02
2.399999999999999911e-01,5.507193486539684324e-01,1.069142157691798517e-02,7.182569750478039194e-02,7.761198524212554912e+04,3.085763718676906662e-03,3.602334717126837171e-02,-3.921098987426763596e-05,1.976099714614570468e-03,-6.514230433980712198e-09,7.273915536137309616e-03
