t,traj_0,traj_1,traj_2,traj_3,traj_4
0.000000000000000000e+00,9.999999999992057464e-01,9.999999999992705835e-01,9.999999999990448751e-01,9.999999999993561817e-01,9.999999999990691890e-01
2.000000000000000042e-02,8.183570991297471897e-01,8.596431751621457229e-01,7.271138613319695354e-01,7.685448316499575716e-01,8.886867894597620943e-01
4.000000000000000083e-02,7.580052243811653545e-01,7.626353287105572809e-01,9.073416898240567185e-01,7.948322450538640727e-01,7.996278766609443700e-01
5.999999999999999778e-02,7.752820763783125901e-01,8.105755371050124003e-01,8.063352564430688041e-01,7.310669177617556969e-01,8.592254151172932231e-01
8.000000000000000167e-02,8.557835358489299660e-01,7.952309692764819582e-01,8.370352094243663776e-01,6.593557805692989993e-01,8.261244192539155540e-01
1.000000000000000056e-01,9.955825605434729386e-01,8.944587671528476669e-01,7.154562412117110304e-01,9.613069969908712986e-01,6.808526261824101589e-01
1.199999999999999956e-01,7.834532207016134953e-01,7.662268860382284164e-01,8.771572004799548239e-01,9.236246899630962126e-01,8.780093177996821652e-01
1.400000000000000133e-01,7.446701704219520490e-01,8.414754820734914320e-01,8.071545071615924272e-01,8.931189829667109947e-01,9.276159106826815659e-01
1.600000000000000033e-01,7.878701129547933668e-01,8.917279428917025408e-01,8.537891924033256252e-01,8.261750212687922756e-01,7.021237733587613050e-01
1.799999999999999933e-01,8.886935977708803058e-01,8.174065316320735519e-01,8.605649255813673237e-01,8.292376695847784029e-01,7.636815927277125216e-01
2.000000000000000111e-01,9.848382579574747053e-01,7.106665038568555914e-01,7.741136718500474245e-01,8.432353777918604187e-01,8.374441184440222230e-01
2.200000000000000011e-01,7.369885679751021490e-01,8.651746156028279344e-01,9.118000494006496259e-01,8.001100965789075259e-01,7.999027009739348992e-01
2.399999999999999911e-01,7.273803055822041230e-01,9.519765667159653111e-01,8.476246782345396857e-01,8.615861206398868211e-01,7.478002436522708241e-01
2.600000000000000089e-01,7.910023762794871072e-01,8.554814623089578296e-01,7.086833304306404679e-01,6.831772321358239308e-01,9.021560365173769691e-01
2.800000000000000266e-01,8.976444651944773812e-01,7.457227211088058860e-01,9.506359621114779390e-01,8.413378449649085988e-01,9.244724370003873926e-01
2.999999999999999889e-01,9.534716574405753819e-01,7.579542689104900033e-01,5.299557734230725403e-01,9.105129398804651109e-01,8.785588847492933340e-01
3.200000000000000067e-01,6.749103323232041873e-01,7.723014131856501541e-01,8.822508716352872593e-01,7.063080315951881794e-01,8.148916338234979406e-01
3.400000000000000244e-01,6.922715407163848589e-01,7.862085348176323096e-01,6.709182950196407313e-01,8.158821697678497742e-01,8.153842051694930593e-01
3.599999999999999867e-01,7.730681302582492753e-01,7.305799562755701526e-01,8.390158633887309092e-01,7.670934548882747395e-01,8.146130115540816119e-01
3.800000000000000044e-01,8.676044750109374037e-01,7.884301598283113277e-01,7.218138941242288054e-01,6.810166123127714410e-01,7.288024619451712871e-01
4.000000000000000222e-01,8.877733268982541670e-01,8.283279212010098425e-01,8.201028670423694544e-01,7.109317484697518230e-01,8.375966155100866839e-01
4.199999999999999845e-01,5.959476275248116739e-01,7.713886727138810073e-01,8.636775428540699462e-01,7.817581862357402267e-01,7.210731721072974887e-01
4.400000000000000022e-01,6.316674701364501932e-01,6.427557538177013363e-01,7.761084743963512222e-01,7.213422815808375743e-01,7.535394430821644729e-01
4.600000000000000200e-01,7.223124900963288075e-01,7.416142769439353355e-01,8.130210520146297082e-01,7.560662461632415843e-01,7.744476756145920460e-01
4.799999999999999822e-01,8.000510371016413824e-01,7.880657061733813418e-01,6.713488341262455750e-01,7.151294940434612668e-01,6.600833881138994386e-01
5.000000000000000000e-01,7.805320479660237121e-01,7.019483632253619154e-01,6.899703691744110134e-01,4.794348621956080470e-01,7.314699995803235488e-01
5.200000000000000178e-01,5.027991688166012496e-01,6.458928157100004563e-01,6.882400898380980347e-01,5.901109765974166255e-01,6.772938673306380108e-01
5.400000000000000355e-01,5.522518815942809578e-01,6.115225248193233432e-01,5.592915905316143688e-01,6.142051329980617869e-01,7.235387592278522684e-01
5.600000000000000533e-01,6.362902412209099356e-01,5.812115072407275651e-01,7.889189204406398259e-01,6.010572711487109920e-01,7.120981408775566290e-01
5.799999999999999600e-01,6.938075005246310267e-01,6.963596196386099280e-01,4.968101320991086256e-01,6.932878036159013657e-01,7.500616549908424302e-01
5.999999999999999778e-01,6.528697130725760189e-01,5.461423909187848036e-01,7.634894396783252768e-01,6.127662131789898270e-01,6.926313228079973294e-01
6.199999999999999956e-01,3.998235260249334844e-01,6.479064503428558774e-01,6.843635254973555737e-01,5.738992870529213697e-01,7.503172385977318060e-01
6.400000000000000133e-01,4.588399705064064027e-01,6.583209175120229295e-01,7.342287769114614893e-01,4.968183685306798436e-01,7.848419159378133836e-01
6.600000000000000311e-01,5.304955313038967057e-01,5.897210251135368564e-01,6.729906784685937282e-01,5.330244110100729182e-01,6.210505100720151717e-01
6.800000000000000488e-01,5.612554308007383641e-01,4.788954376470084262e-01,6.871877679610780554e-01,5.883562922161290620e-01,6.437643227694058723e-01
