t,traj_0,traj_1,traj_2,traj_3,traj_4
0.000000000000000000e+00,9.999999999911516335e-01,9.999999999907740467e-01,9.999999999899942260e-01,9.999999999900532899e-01,9.999999999904146675e-01
2.000000000000000042e-02,9.935004405036376163e-01,9.836734991935079941e-01,9.903223707133822495e-01,7.867284989561936781e-01,9.895509994332108983e-01
4.000000000000000083e-02,9.926935515584636160e-01,9.786655518852986901e-01,9.931443849573290406e-01,1.697132871079276295e-01,9.934736560610059053e-01
5.999999999999999778e-02,9.745946150133953934e-01,9.720864417421704040e-01,9.847646473879523299e-01,6.372201135739127276e-01,9.907855784505207319e-01
8.000000000000000167e-02,9.958518707303456452e-01,9.921612890618695113e-01,9.948774397994353258e-01,6.163655412340122153e-01,9.866037217428541561e-01
1.000000000000000056e-01,9.669127925449439998e-01,9.646745480837177755e-01,9.870110773965848905e-01,2.051104661982316446e-01,9.880724299078811335e-01
1.199999999999999956e-01,9.801533386002745374e-01,9.560069096310011005e-01,9.888678451379668832e-01,-5.090851470636236220e-01,9.821446396716593252e-01
1.400000000000000133e-01,9.541790025691069266e-01,9.586152060016258636e-01,9.769721047522172963e-01,-5.863519641231150492e-02,9.677016993830029890e-01
1.600000000000000033e-01,9.866147058892703603e-01,9.524606241650449556e-01,9.833658811962795454e-01,1.730743012592220187e-01,9.555939762275531546e-01
1.799999999999999933e-01,9.723356637397964075e-01,9.201261649198216874e-01,9.778916269601791722e-01,3.682517421131665247e-01,9.452164764553835363e-01
2.000000000000000111e-01,9.766061292751981870e-01,8.973487172064618100e-01,9.645902599902014263e-01,2.371804545589942248e-01,9.300862772191128558e-01
2.200000000000000011e-01,9.704322423582375512e-01,8.524387309422318815e-01,9.601028387273142783e-01,8.042655869325496809e-01,9.101814969537674882e-01
2.399999999999999911e-01,9.640280059765974352e-01,8.213071481173477295e-01,9.494540069522449111e-01,8.601877403218374241e-01,9.023655920779122264e-01
2.600000000000000089e-01,9.534900185689065832e-01,7.893977435728835035e-01,9.403190855836932593e-01,9.500401402805388473e-01,8.887424040683451487e-01
2.800000000000000266e-01,9.429591274104774934e-01,7.402646263522123515e-01,9.187125189418462456e-01,6.830089356585102855e-01,8.845531232852771319e-01
2.999999999999999889e-01,9.050471463846317954e-01,6.937219929078072278e-01,9.138901042035981748e-01,9.320730996654151834e-01,8.841476659611223754e-01
3.200000000000000067e-01,8.997822484832612711e-01,6.627387525231803744e-01,8.923731881179103320e-01,7.322962136035521263e-01,8.713447207505116143e-01
3.400000000000000244e-01,8.714753886058166366e-01,6.368619586795056797e-01,8.836364350148999680e-01,8.065493753624914941e-01,8.608481751875516341e-01
3.599999999999999867e-01,8.776321409800643680e-01,6.078145561199873592e-01,8.523655777319620874e-01,5.439683378532594871e-01,8.494497257684634484e-01
3.800000000000000044e-01,8.365818905888746659e-01,5.736422839045598465e-01,8.439803247383318441e-01,4.129567401525770509e-01,8.363591220208997923e-01
4.000000000000000222e-01,8.352674805956601389e-01,5.479799271975708264e-01,8.247560882992904796e-01,-1.343685359760023179e-02,8.217473468656515401e-01
4.199999999999999845e-01,8.069665684521600824e-01,5.551982732826604705e-01,8.099188224461698615e-01,2.108359245093850420e-01,8.020821039870763558e-01
4.400000000000000022e-01,7.964442275745298172e-01,5.499397996889754392e-01,7.884448215103878610e-01,3.017436002384289440e-01,7.694413922630561897e-01
4.600000000000000200e-01,7.673380416456370146e-01,5.452003688693537464e-01,7.823124483098441440e-01,4.641309775380519920e-01,7.192302430125125934e-01
4.799999999999999822e-01,7.369127524852864264e-01,5.567958062138611552e-01,7.613287923762263043e-01,2.199822977501231513e-01,6.575230479848629406e-01
5.000000000000000000e-01,7.025706647006348948e-01,5.861667051834542619e-01,7.488576887709749164e-01,5.821813353010484304e-01,5.952006259231286123e-01
5.200000000000000178e-01,6.808753697038280039e-01,5.985695908186753345e-01,7.322771268977067427e-01,7.212917098247345615e-01,5.390289596919124460e-01
5.400000000000000355e-01,6.394246623159985932e-01,6.223639145449240129e-01,7.121654236924233050e-01,6.315463973094171957e-01,4.988727395842824652e-01
5.600000000000000533e-01,6.095057025406294127e-01,6.284510711135551375e-01,7.010450726291242995e-01,1.173525491396650300e-01,4.614936946290835174e-01
5.799999999999999600e-01,5.603375151734846238e-01,6.473840161350803424e-01,6.846025976667868829e-01,5.042179448292906097e-01,4.390810851324590258e-01
5.999999999999999778e-01,5.516262349393229458e-01,6.565655129761707176e-01,6.585112711371903238e-01,2.715412886316843633e-01,4.176873537374555245e-01
6.199999999999999956e-01,5.066646395152983873e-01,6.637171983830683075e-01,6.452129682355538520e-01,5.737380987022818735e-01,4.093276920354714798e-01
6.400000000000000133e-01,4.852616118801666989e-01,6.563040803488480179e-01,6.346825916465821393e-01,7.290021014612636796e-02,4.088860848381332680e-01
6.600000000000000311e-01,4.517970831848898139e-01,6.634903545845574069e-01,6.142408148503593068e-01,2.416799080263094257e-01,4.258537273105615362e-01
6.800000000000000488e-01,4.281005395297330374e-01,6.495485451175615488e-01,6.075592409628791657e-01,3.314633096641713128e-01,4.505871348803662246e-01
7.000000000000000666e-01,3.964929745690689011e-01,6.460949017717224629e-01,5.757385413625422110e-01,2.364184480828226687e-01,4.827982638134100668e-01
7.199999999999999734e-01,3.690617196067521033e-01,6.213007061758645255e-01,5.688535327020943777e-01,5.468416894359356267e-02,5.070758871254843481e-01
7.399999999999999911e-01,3.381390508790374505e-01,5.905336319825459368e-01,5.524629496927656591e-01,2.332941510005789865e-01,5.085873264208490285e-01
7.600000000000000089e-01,3.144905676953264062e-01,5.696446667592015567e-01,5.287697704604410465e-01,3.294768078149676871e-01,4.810505440402948474e-01
7.800000000000000266e-01,2.911225527427571680e-01,5.526299604890700934e-01,4.997676215616644879e-01,3.201489228739784476e-01,4.395211464721903161e-01
8.000000000000000444e-01,2.748932265359697036e-01,5.105043361227769028e-01,4.866651853375472681e-01,9.562221957958591534e-02,3.884329715946868156e-01
8.200000000000000622e-01,2.502076713831341559e-01,4.864844222536973684e-01,4.537384609134800795e-01,2.213305219982104055e-01,3.480684027431447114e-01
8.399999999999999689e-01,2.412534549206525880e-01,4.740214490786091028e-01,4.326207026580593529e-01,2.905645720799472920e-01,3.107060295939387262e-01
8.599999999999999867e-01,2.180157644598021971e-01,4.532855887169774944e-01,4.076547715235152025e-01,3.241844537779782764e-01,2.690837349434319070e-01
8.800000000000000044e-01,2.086966496121898662e-01,4.260850565260731471e-01,3.804322888606642139e-01,2.525768802398452029e-01,2.197816227379582044e-01
9.000000000000000222e-01,1.939503828635410765e-01,3.984270682771637317e-01,3.627417364532271038e-01,3.100158402382644507e-01,1.663138262332724826e-01
9.200000000000000400e-01,1.793423885102441162e-01,3.779257479750844362e-01,3.436186111226872120e-01,2.490364535900407017e-01,1.216690247996877056e-01
9.400000000000000577e-01,1.648393366051994768e-01,3.596189500514431758e-01,3.163529391481124664e-01,2.157549659176928591e-01,9.064947539646367458e-02
9.599999999999999645e-01,1.536750869574337042e-01,3.342732383182533407e-01,3.036071766498297797e-01,6.297151732809853908e-02,7.570985749990427616e-02
9.799999999999999822e-01,1.419226195469970586e-01,3.057561263414462771e-01,2.847602313903968563e-01,1.033202135468303945e-01,7.438286876205481291e-02
1.000000000000000000e+00,1.302187470698496496e-01,2.897302192093597073e-01,2.617373834449599479e-01,5.551486700868370205e-02,8.366925697400384720e-02
1.020000000000000018e+00,1.170734707859570900e-01,2.689865863432234216e-01,2.491213611512571591e-01,7.103164793820217204e-02,9.828458688881738792e-02
1.040000000000000036e+00,1.105348663516732693e-01,2.501059488816254062e-01,2.234200977325243309e-01,8.142816588725940163e-02,1.112025063895433763e-01
1.060000000000000053e+00,1.008327834247856186e-01,2.276193461087125391e-01,2.066489993147164472e-01,8.414472836873539141e-02,1.205325683841416695e-01
1.080000000000000071e+00,9.518003599608740317e-02,2.045874236234856147e-01,1.934195699291859916e-01,-1.542199174156067519e-02,1.273923791148652285e-01
1.100000000000000089e+00,8.479499464324836977e-02,1.829118476216757827e-01,1.745390298538937734e-01,5.566444944773118499e-03,1.338974022677061337e-01
1.120000000000000107e+00,8.098797636217296148e-02,1.691289034381399103e-01,1.574420311919446924e-01,-2.239616542389809284e-01,1.466198390597582557e-01
1.140000000000000124e+00,7.333600662524338010e-02,1.488356175881975219e-01,1.502548206838189848e-01,8.731091088940913514e-02,1.549736370595362067e-01
1.159999999999999920e+00,6.678000527876762349e-02,1.331460636761295224e-01,1.342591941217945450e-01,9.699655300427392768e-03,1.528889053642040474e-01
1.179999999999999938e+00,6.106974942603313888e-02,1.208642129149580940e-01,1.276293102279136282e-01,7.311691852944236791e-02,1.324509538642073547e-01
1.199999999999999956e+00,5.616553483686000103e-02,1.129151225815011594e-01,1.196977341109868170e-01,1.556183564551980314e-01,1.012629033660711608e-01
1.219999999999999973e+00,5.197924209601386542e-02,1.028353476922433535e-01,1.095414298184213403e-01,7.500798913749849584e-02,6.954447914120995278e-02
1.239999999999999991e+00,4.946908290920833118e-02,9.427388799966660016e-02,1.038731594378292655e-01,2.033222582219564034e-02,4.657355526353020025e-02
1.260000000000000009e+00,4.547064159693169072e-02,8.586904156951374878e-02,9.642725070223982786e-02,1.525509737614371038e-02,3.079961282696661723e-02
1.280000000000000027e+00,4.443697256054996575e-02,8.245693701869649672e-02,8.650592148550008409e-02,8.860129568761419480e-03,1.966804443066265742e-02
1.300000000000000044e+00,4.175314093570895585e-02,7.683178402145564301e-02,8.259288025469636862e-02,4.798602603248327061e-03,1.072497181845319392e-02
1.320000000000000062e+00,4.043362254227410996e-02,7.226642045263974301e-02,7.584237356941259112e-02,-4.426787742884035815e-04,4.610838814560796334e-03
1.340000000000000080e+00,3.807258439942586697e-02,7.016558687361404423e-02,6.750331256821222314e-02,-2.625239671967027942e-04,1.987074766159997556e-03
1.360000000000000098e+00,3.776257965990768850e-02,6.964704694053383549e-02,6.510378341736310082e-02,7.786207144751195255e-03,2.686769719667500382e-03
1.380000000000000115e+00,3.448584500662640884e-02,6.706728244764052771e-02,5.935186709973161445e-02,6.216056905473529241e-04,5.564129270123059461e-03
1.400000000000000133e+00,3.287603470638487957e-02,6.552603662590697486e-02,5.494960513180983941e-02,-3.331181513432802249e-02,1.039631847378057715e-02
1.419999999999999929e+00,3.137829442851197692e-02,6.301123058435212365e-02,5.380828987198151003e-02,5.904168268441593176e-03,1.743393268427724518e-02
1.439999999999999947e+00,2.883643768028435958e-02,6.035259055923022226e-02,4.942347379488656878e-02,3.633847887449382502e-02,2.527107091517850207e-02
1.459999999999999964e+00,2.665188784637121527e-02,5.786164978723070534e-02,4.646156739763035448e-02,3.842335648134742598e-02,3.056284640836916255e-02
1.479999999999999982e+00,2.484170130049256908e-02,5.388769814544416836e-02,4.620677209666634866e-02,2.699618639749482539e-03,3.159709708839116699e-02
1.500000000000000000e+00,2.265508650723007875e-02,4.978979390628425483e-02,4.130542823340452308e-02,2.022680250648746514e-02,2.820203684688527349e-02
1.520000000000000018e+00,2.131986921547784908e-02,4.672627043989546064e-02,3.953672895177406943e-02,1.177334844095708627e-02,2.429493246691255548e-02
1.540000000000000036e+00,1.870939392152594360e-02,4.414277138340223783e-02,3.720899236075539407e-02,6.604320940702309781e-03,2.276195620188722207e-02
1.560000000000000053e+00,1.694088441718044971e-02,4.087630040505135093e-02,3.254074534537105406e-02,1.722318460721292523e-03,2.391331038490138866e-02
1.580000000000000071e+00,1.473312595976072545e-02,3.722658541686065664e-02,3.037099098224764135e-02,6.035566045036973087e-04,2.470409753726178839e-02
1.600000000000000089e+00,1.299471843591705998e-02,3.296171126264294676e-02,2.793309401793047167e-02,7.917483074622029375e-04,2.324153707756597756e-02
1.620000000000000107e+00,1.066308670525982494e-02,3.042694845427047767e-02,2.404517471039528329e-02,1.141083432798895231e-03,1.799039791299015395e-02
1.640000000000000124e+00,9.160675208280117179e-03,2.719702035858796024e-02,2.332099133670973226e-02,9.379196422539997149e-03,1.123995981417046618e-02
1.660000000000000142e+00,7.854985557002969881e-03,2.354752641302332306e-02,2.141738168143707613e-02,2.186303335250272973e-03,5.999772217784376041e-03
1.679999999999999938e+00,6.586366173672617702e-03,2.050095608542781833e-02,1.866939496734318360e-02,-8.916567407781503035e-04,3.108374250423898751e-03
1.699999999999999956e+00,5.658040626789185255e-03,1.881270002018978205e-02,1.827795891418017640e-02,2.827233058858834649e-03,1.853249825288731407e-03
1.719999999999999973e+00,4.859076553166621383e-03,1.657262934881126651e-02,1.630445552160827982e-02,1.843316026639761282e-02,1.503506722775294199e-03
1.739999999999999991e+00,4.092339664804153093e-03,1.472982875515560855e-02,1.444627943399994993e-02,9.502463039702811406e-03,1.880786649121697542e-03
1.760000000000000009e+00,3.671373019190080425e-03,1.276816761950665645e-02,1.377596406402416956e-02,7.236450532185668104e-03,2.677185932533415833e-03
1.780000000000000027e+00,2.985763304386304575e-03,1.131958545677493565e-02,1.166382643319066430e-02,4.357282370070269216e-03,3.475299428390881632e-03
1.800000000000000044e+00,2.626129300653872942e-03,9.913827598855092307e-03,1.003116856243939890e-02,3.945459946298835417e-03,3.922579207886015516e-03
1.820000000000000062e+00,2.172312631666871614e-03,8.617478757370136688e-03,9.424399974744531588e-03,2.432507899198352481e-03,4.352632491077399607e-03
1.840000000000000080e+00,1.790080520457028486e-03,7.222629991235067493e-03,7.618934898055663638e-03,4.938916550734681176e-04,5.465405600362120697e-03
1.860000000000000098e+00,1.476781312256729081e-03,6.248847224240456147e-03,6.755693277182269439e-03,4.564450060356903239e-04,7.400176294214941969e-03
