t,avg_L
0.000000000000000000e+00,9.999999999904146675e-01
2.000000000000000042e-02,9.895509994332108983e-01
4.000000000000000083e-02,9.926935515584636160e-01
5.999999999999999778e-02,9.745946150133953934e-01
8.000000000000000167e-02,9.921612890618695113e-01
1.000000000000000056e-01,9.669127925449439998e-01
1.199999999999999956e-01,9.801533386002745374e-01
1.400000000000000133e-01,9.586152060016258636e-01
1.600000000000000033e-01,9.555939762275531546e-01
1.799999999999999933e-01,9.452164764553835363e-01
2.000000000000000111e-01,9.300862772191128558e-01
2.200000000000000011e-01,9.101814969537674882e-01
2.399999999999999911e-01,9.023655920779122264e-01
2.600000000000000089e-01,9.403190855836932593e-01
2.800000000000000266e-01,8.845531232852771319e-01
2.999999999999999889e-01,9.050471463846317954e-01
3.200000000000000067e-01,8.713447207505116143e-01
3.400000000000000244e-01,8.608481751875516341e-01
3.599999999999999867e-01,8.494497257684634484e-01
3.800000000000000044e-01,8.363591220208997923e-01
4.000000000000000222e-01,8.217473468656515401e-01
4.199999999999999845e-01,8.020821039870763558e-01
4.400000000000000022e-01,7.694413922630561897e-01
4.600000000000000200e-01,7.192302430125125934e-01
4.799999999999999822e-01,6.575230479848629406e-01
5.000000000000000000e-01,5.952006259231286123e-01
5.200000000000000178e-01,6.808753697038280039e-01
5.400000000000000355e-01,6.315463973094171957e-01
5.600000000000000533e-01,6.095057025406294127e-01
5.799999999999999600e-01,5.603375151734846238e-01
5.999999999999999778e-01,5.516262349393229458e-01
6.199999999999999956e-01,5.737380987022818735e-01
6.400000000000000133e-01,4.852616118801666989e-01
6.600000000000000311e-01,4.517970831848898139e-01
6.800000000000000488e-01,4.505871348803662246e-01
7.000000000000000666e-01,4.827982638134100668e-01
7.199999999999999734e-01,5.070758871254843481e-01
7.399999999999999911e-01,5.085873264208490285e-01
7.600000000000000089e-01,4.810505440402948474e-01
7.800000000000000266e-01,4.395211464721903161e-01
8.000000000000000444e-01,3.884329715946868156e-01
8.200000000000000622e-01,3.480684027431447114e-01
8.399999999999999689e-01,3.107060295939387262e-01
8.599999999999999867e-01,3.241844537779782764e-01
8.800000000000000044e-01,2.525768802398452029e-01
9.000000000000000222e-01,3.100158402382644507e-01
9.200000000000000400e-01,2.490364535900407017e-01
9.400000000000000577e-01,2.157549659176928591e-01
9.599999999999999645e-01,1.536750869574337042e-01
9.799999999999999822e-01,1.419226195469970586e-01
1.000000000000000000e+00,1.302187470698496496e-01
1.020000000000000018e+00,1.170734707859570900e-01
1.040000000000000036e+00,1.112025063895433763e-01
1.060000000000000053e+00,1.205325683841416695e-01
1.080000000000000071e+00,1.273923791148652285e-01
1.100000000000000089e+00,1.338974022677061337e-01
1.120000000000000107e+00,1.466198390597582557e-01
1.140000000000000124e+00,1.488356175881975219e-01
1.159999999999999920e+00,1.331460636761295224e-01
1.179999999999999938e+00,1.208642129149580940e-01
1.199999999999999956e+00,1.129151225815011594e-01
1.219999999999999973e+00,7.500798913749849584e-02
1.239999999999999991e+00,4.946908290920833118e-02
1.260000000000000009e+00,4.547064159693169072e-02
1.280000000000000027e+00,4.443697256054996575e-02
1.300000000000000044e+00,4.175314093570895585e-02
1.320000000000000062e+00,4.043362254227410996e-02
1.340000000000000080e+00,3.807258439942586697e-02
1.360000000000000098e+00,3.776257965990768850e-02
1.380000000000000115e+00,3.448584500662640884e-02
1.400000000000000133e+00,3.287603470638487957e-02
1.419999999999999929e+00,3.137829442851197692e-02
1.439999999999999947e+00,3.633847887449382502e-02
1.459999999999999964e+00,3.842335648134742598e-02
1.479999999999999982e+00,3.159709708839116699e-02
1.500000000000000000e+00,2.820203684688527349e-02
1.520000000000000018e+00,2.429493246691255548e-02
1.540000000000000036e+00,2.276195620188722207e-02
1.560000000000000053e+00,2.391331038490138866e-02
1.580000000000000071e+00,2.470409753726178839e-02
1.600000000000000089e+00,2.324153707756597756e-02
1.620000000000000107e+00,1.799039791299015395e-02
1.640000000000000124e+00,1.123995981417046618e-02
1.660000000000000142e+00,7.854985557002969881e-03
1.679999999999999938e+00,6.586366173672617702e-03
1.699999999999999956e+00,5.658040626789185255e-03
1.719999999999999973e+00,1.630445552160827982e-02
1.739999999999999991e+00,9.502463039702811406e-03
1.760000000000000009e+00,7.236450532185668104e-03
1.780000000000000027e+00,4.357282370070269216e-03
1.800000000000000044e+00,3.945459946298835417e-03
1.820000000000000062e+00,4.352632491077399607e-03
1.840000000000000080e+00,5.465405600362120697e-03
1.860000000000000098e+00,6.248847224240456147e-03
1.880000000000000115e+00,5.264806293563003246e-03
1.900000000000000133e+00,4.458740252606000452e-03
1.919999999999999929e+00,3.703682806865045071e-03
1.939999999999999947e+00,3.022520271676439052e-03
1.959999999999999964e+00,2.102681812215023444e-03
1.979999999999999982e+00,2.084669728457122680e-03
2.000000000000000000e+00,1.251984326581035475e-03
2.020000000000000018e+00,1.382907883597791132e-03
2.040000000000000036e+00,1.187100717852492037e-03
2.060000000000000053e+00,1.009870671734565926e-03
2.080000000000000071e+00,8.489197404399233043e-04
2.100000000000000089e+00,7.123170772262942246e-04
2.120000000000000107e+00,6.120362445427855909e-04
2.140000000000000124e+00,5.345552632362339518e-04
2.160000000000000142e+00,4.614187436126844554e-04
2.180000000000000160e+00,2.374651749492391953e-04
2.200000000000000178e+00,2.796745904770935910e-04
2.220000000000000195e+00,1.520905337873796291e-04
2.240000000000000213e+00,2.750050365279577830e-04
2.260000000000000231e+00,2.388646912167792708e-04
2.280000000000000249e+00,2.074266197875515518e-04
2.300000000000000266e+00,1.740965324265943712e-04
2.319999999999999840e+00,1.501297321603098497e-04
2.339999999999999858e+00,1.226832568040593045e-04
2.359999999999999876e+00,5.352041152563635833e-05
2.379999999999999893e+00,6.149410339668309278e-05
2.399999999999999911e+00,6.889909119687443926e-05
2.419999999999999929e+00,5.562865064741736963e-05
2.439999999999999947e+00,4.477647491786603971e-05
2.459999999999999964e+00,3.386272886375232745e-05
2.479999999999999982e+00,3.124953210926136884e-05
2.500000000000000000e+00,2.655879646509168277e-05
2.520000000000000018e+00,1.897562417933841740e-05
2.540000000000000036e+00,1.561262631549464107e-05
2.560000000000000053e+00,1.440243527045216206e-05
2.580000000000000071e+00,1.124066170580691419e-05
2.600000000000000089e+00,6.619853550904613600e-06
2.620000000000000107e+00,5.447722595824217549e-06
2.640000000000000124e+00,6.142999125770420927e-06
2.660000000000000142e+00,5.432269052301157939e-06
2.680000000000000160e+00,4.396135681797944297e-06
2.700000000000000178e+00,3.484454372405693551e-06
2.720000000000000195e+00,2.792125114959300983e-06
2.740000000000000213e+00,1.669747710485494653e-06
2.760000000000000231e+00,1.751744521458785367e-06
2.780000000000000249e+00,1.365071053679745835e-06
2.800000000000000266e+00,1.033987277561111978e-06
2.819999999999999840e+00,8.195791674042898646e-07
2.839999999999999858e+00,6.519634681544550846e-07
2.859999999999999876e+00,1.922835962194181345e-07
2.879999999999999893e+00,2.532076233330557724e-07
2.899999999999999911e+00,2.536360692225123997e-07
2.919999999999999929e+00,2.004637304090070516e-07
2.939999999999999947e+00,1.395360157924256209e-07
2.959999999999999964e+00,1.252229043896294431e-07
2.979999999999999982e+00,4.108578836258079769e-08
3.000000000000000000e+00,5.940379352724459548e-08
3.020000000000000018e+00,7.049731993040479056e-08
3.040000000000000036e+00,3.150072908622228448e-08
3.060000000000000053e+00,9.836423855831631075e-08
3.080000000000000071e+00,6.758771777138799681e-08
3.100000000000000089e+00,3.275243743080436304e-08
3.120000000000000107e+00,2.578008476538068526e-08
3.140000000000000124e+00,7.293701783598709866e-09
3.160000000000000142e+00,2.107588430244973255e-08
3.180000000000000160e+00,2.649597707107563022e-08
3.200000000000000178e+00,1.938372792133338274e-08
3.220000000000000195e+00,1.931681404010169670e-08
3.240000000000000213e+00,2.262095579972869502e-08
3.260000000000000231e+00,1.290618777288561860e-08
3.280000000000000249e+00,1.508301715493746901e-08
3.300000000000000266e+00,1.694622073448733775e-08
3.320000000000000284e+00,1.517003617083352671e-08
3.339999999999999858e+00,1.895131087939115596e-08
3.359999999999999876e+00,1.374272447993722648e-08
3.379999999999999893e+00,9.800462325980049177e-09
3.399999999999999911e+00,1.062804990783398303e-08
3.419999999999999929e+00,1.064458581020482367e-08
3.439999999999999947e+00,6.854257814441747129e-09
3.459999999999999964e+00,6.546811662474080679e-09
3.479999999999999982e+00,6.066113701018688015e-09
3.500000000000000000e+00,3.503941517607734058e-09
3.520000000000000018e+00,3.961414670605757797e-09
3.540000000000000036e+00,2.030757781468223420e-09
3.560000000000000053e+00,3.963216285846886003e-10
3.580000000000000071e+00,6.587571116042894565e-10
3.600000000000000089e+00,4.293717723648574788e-10
3.620000000000000107e+00,2.585710397604220745e-10
3.640000000000000124e+00,1.497622922142306408e-10
3.660000000000000142e+00,1.259232860690920572e-10
3.680000000000000160e+00,9.329919033206267546e-11
3.700000000000000178e+00,6.193100544955710625e-11
3.720000000000000195e+00,6.520624919165290095e-11
3.740000000000000213e+00,6.186585785591812858e-11
3.760000000000000231e+00,5.651931706540732524e-11
3.780000000000000249e+00,4.854256762953859085e-11
3.800000000000000266e+00,3.881392253354037620e-11
3.820000000000000284e+00,3.399120273902931192e-11
3.839999999999999858e+00,3.825166261738677475e-11
3.859999999999999876e+00,4.564686826144911546e-11
3.879999999999999893e+00,3.621830199740259554e-11
3.899999999999999911e+00,3.336056366227505238e-11
3.919999999999999929e+00,5.648520439084936717e-11
3.939999999999999947e+00,7.558753961614909457e-11
3.959999999999999964e+00,9.821094836861757612e-11
3.979999999999999982e+00,2.096873069315080928e-11
4.000000000000000000e+00,5.339656137115504561e-11
