t,traj_0,traj_1,traj_2,traj_3,traj_4
0.000000000000000000e+00,9.999999999986391996e-01,9.999999999990392130e-01,1.000000000000026201e+00,9.999999999981559196e-01,1.000000000000444533e+00
2.000000000000000042e-02,1.008225374864313073e+00,1.189021283561730646e+00,8.410971877124355789e-01,8.346902741102480983e-01,1.194473655080522834e+00
4.000000000000000083e-02,1.166885981445225512e-01,3.687007194104974794e-01,-5.024307225987301173e-01,-4.481361786390825608e-01,-3.777424702793414357e-01
5.999999999999999778e-02,-6.190518906382348058e-02,-8.010245946119980143e-02,-1.413000203804136712e-01,-3.595633161935351541e-01,-1.292211046479031511e-01
8.000000000000000167e-02,5.118837548017199923e-01,5.803128933747703222e-01,6.302902724913996835e-01,3.792241700539100147e-01,3.910078251452150377e-01
1.000000000000000056e-01,2.326847463277446071e-01,2.515187842616175562e-01,7.137203452973525653e-02,1.153933299064050511e-01,9.748457383950138999e-02
1.199999999999999956e-01,5.459816773281502833e-01,1.090354000376745125e+00,1.473138204543120056e+00,1.037188395097599303e+00,4.792701079743396653e-01
1.400000000000000133e-01,-1.863642635524293822e-01,-6.730345187737285517e-02,-3.901925746682554097e-01,-7.391455793202683644e-01,-7.496477489272082018e-01
1.600000000000000033e-01,4.630365611021117767e-01,3.858236579298988111e-01,2.957647326974717772e-01,5.451019284223460604e-01,4.538624615899264358e-01
1.799999999999999933e-01,3.491199227179468401e-01,4.675856435913058329e-01,5.266337811282741921e-01,4.206062698462397220e-01,4.650823045232562736e-01
2.000000000000000111e-01,7.888288803055767962e-02,2.553858418013574272e-01,3.322787872479356919e-01,9.821571421909550126e-02,1.528488380513435552e-01
2.200000000000000011e-01,1.034535656768885703e+00,1.380187774606864703e+00,1.889028784074111789e+00,1.447583032149052373e+00,1.132655193444014330e+00
2.399999999999999911e-01,2.619362193564372943e-01,-3.756467960265534312e-01,-1.680290490815450566e+00,-5.754532392440961930e-01,-1.039202619389585580e+00
2.600000000000000089e-01,7.755666844090615131e-01,4.358590975527549816e-01,3.587481747704379664e-01,1.962384734005087270e-02,-1.292603670064686738e-01
2.800000000000000266e-01,3.172814695480679625e-01,3.002128822411048170e-01,4.283999406060516324e-01,4.744485105161832528e-01,3.790471866642979304e-01
2.999999999999999889e-01,3.937927399413743701e-01,1.549458821674735143e-01,1.065787990903891008e-01,3.135828936769606834e-01,1.578135450125503492e-01
3.200000000000000067e-01,1.393645038879494980e+00,7.507532479709403406e-01,2.209128723937153538e+00,2.873913426809660887e+00,2.193531706262914049e+00
3.400000000000000244e-01,5.675385235773048459e-02,9.909894892049680992e-02,3.011904610795609893e-01,-1.890774199919122156e-01,-9.774732743936703772e-01
3.599999999999999867e-01,3.590563494635299335e-01,8.944647643699227615e-03,1.376966638630359996e-04,-2.652620224074002664e-01,2.030907510195046339e-01
3.800000000000000044e-01,2.445228770531034379e-01,3.107361688597360949e-01,4.113452153585084314e-01,9.649536274568529248e-02,2.282093990682667051e-01
4.000000000000000222e-01,4.219226285257127729e-01,2.099098772183783934e-01,3.805777856605274678e-01,1.308061292214245663e-01,2.401006326509688704e-01
4.199999999999999845e-01,1.530881494679451782e+00,9.448473336612411844e-01,1.516374173860671748e-01,1.439945706016866334e+00,3.823995355328437817e-01
4.400000000000000022e-01,-3.568310557394631100e-01,-2.495981463508263887e-01,-7.906545361069510225e-01,3.343794348198722566e-02,-7.166765523789619952e-01
4.600000000000000200e-01,4.170548917331340366e-01,2.059787702041087631e-01,8.084073754817978907e-02,1.072656784766418403e-01,2.539945857524310568e-01
4.799999999999999822e-01,2.320916247352354800e-01,2.211919943027195190e-01,9.270618874451014291e-02,1.725781528668810239e-01,1.384247402008728089e-01
5.000000000000000000e-01,2.265975101490333432e-01,1.534600046265169881e-01,1.231375532245934934e-01,9.592235700901924345e-02,4.372310981278555719e-02
5.200000000000000178e-01,1.742109719104971477e+00,1.264679369595312464e+00,-2.405801525749828168e-02,-1.479071067915306292e-01,1.783166128388539384e+00
5.400000000000000355e-01,-1.401771336209098884e-01,2.377007772317993872e-01,-2.844749795521870905e-01,-1.680365178299848272e-01,-1.381015384804353818e-01
5.600000000000000533e-01,3.306811078932986314e-01,2.816788298954804870e-01,2.364940183194371992e-01,1.900468643446102390e-01,1.966258431101541304e-01
5.799999999999999600e-01,1.407753197029555370e-01,1.956703621511660662e-01,4.930197121822254419e-02,-2.228956502406110041e-01,8.859416000050013285e-02
5.999999999999999778e-01,1.326342983710414869e-01,2.898675276477811202e-01,1.396902003144322446e-01,1.069051059696135286e-01,1.767976293374972085e-01
6.199999999999999956e-01,9.831677481175148392e-01,-5.122787129788596294e-01,1.569955053605648132e+00,-9.914421979219174563e-01,4.466853593932565980e-01
6.400000000000000133e-01,4.132848175623488052e-01,-5.010931127995548184e-01,-2.669141311768140068e-01,-4.491949886026038175e-01,-2.788654927866565103e-01
6.600000000000000311e-01,1.865361496246277506e-01,2.886029971114129622e-01,1.339778394769309267e-01,7.353461357116532031e-03,7.993116244164484574e-02
6.800000000000000488e-01,9.356463355755978428e-02,1.544751551800458422e-01,1.210661967071204465e-01,1.211203425060581457e-02,2.192570041001529538e-02
7.000000000000000666e-01,1.210526857829854475e-01,2.022706357904702212e-01,1.073775700982176062e-01,4.916691594558326994e-02,7.085919544081448196e-02
7.199999999999999734e-01,3.793073090051031215e-01,2.925061501658446361e-01,-7.002386134129767736e-01,-2.053119642501344266e-01,-2.000579457775232939e+00
7.399999999999999911e-01,-7.016052849162664196e-02,-3.260679244186874826e-01,3.484845929530860364e-01,-3.808804468004796107e-01,-1.061695914194135115e-01
7.600000000000000089e-01,1.525700571790614968e-01,2.460441923409045495e-01,1.796045799204591953e-01,4.436610407239256759e-02,1.479749077628199627e-01
7.800000000000000266e-01,1.076467913768613671e-01,1.698971622988340313e-01,1.890641886130204063e-01,1.117734482540719797e-02,1.676272318723907306e-01
8.000000000000000444e-01,1.042111461341577588e-01,1.177795869720038441e-01,1.549811358963789631e-01,1.102763261351673574e-01,7.214864984270846771e-02
8.200000000000000622e-01,5.545553072876661105e-01,-1.969491904677650451e+00,-6.313276948560881952e-01,-1.171864994766812940e+00,-2.494639287345740364e+00
8.399999999999999689e-01,6.864158531986433442e-02,1.153501761548733073e-01,-2.498105962307098915e-01,2.074665616037003196e-02,8.404110479440135562e-02
8.599999999999999867e-01,1.099944284349680251e-01,1.457939092015464455e-01,1.005815265407769138e-01,1.118896421911919625e-01,9.365956700724575867e-02
8.800000000000000044e-01,6.173497259391895475e-02,2.103025882408433023e-01,2.663783117802371800e-02,3.234133322140634453e-02,4.968573896174224153e-02
9.000000000000000222e-01,6.758079640603524563e-02,1.184414050258683210e-01,1.094176527124688519e-01,8.094152048029140678e-02,6.827229665955607263e-02
