t,avg_L
0.000000000000000000e+00,9.999999999995405897e-01
2.000000000000000042e-02,9.889068057846587267e-01
4.000000000000000083e-02,9.724044448549160613e-01
5.999999999999999778e-02,9.785836741961296825e-01
8.000000000000000167e-02,9.897343503151267985e-01
1.000000000000000056e-01,9.896464215013510701e-01
1.199999999999999956e-01,9.763477603324852705e-01
1.400000000000000133e-01,9.493422888906739576e-01
1.600000000000000033e-01,9.664531163290828175e-01
1.799999999999999933e-01,9.512323380539049467e-01
2.000000000000000111e-01,9.373679959699966480e-01
2.200000000000000011e-01,9.430992846640898764e-01
2.399999999999999911e-01,8.822510749649277173e-01
2.600000000000000089e-01,9.004548867427405456e-01
2.800000000000000266e-01,8.880063548204536472e-01
2.999999999999999889e-01,8.627500182782783522e-01
3.200000000000000067e-01,8.447618406217686227e-01
3.400000000000000244e-01,8.184539638726043842e-01
3.599999999999999867e-01,7.866214754044369428e-01
3.800000000000000044e-01,7.539560517143163443e-01
4.000000000000000222e-01,7.271964629044243011e-01
4.199999999999999845e-01,6.968883925020237236e-01
4.400000000000000022e-01,6.663621336412015594e-01
4.600000000000000200e-01,6.446073621564680778e-01
4.799999999999999822e-01,6.168011374475096398e-01
5.000000000000000000e-01,5.824783024387268915e-01
5.200000000000000178e-01,5.562138415478530273e-01
5.400000000000000355e-01,5.240402330396589647e-01
5.600000000000000533e-01,5.071624980695823570e-01
5.799999999999999600e-01,5.027624663641485636e-01
5.999999999999999778e-01,4.996923523888934793e-01
6.199999999999999956e-01,5.000915089874718999e-01
6.400000000000000133e-01,5.019821376529417511e-01
6.600000000000000311e-01,4.998631923062717419e-01
6.800000000000000488e-01,4.959586339343619033e-01
7.000000000000000666e-01,4.864760617119218700e-01
7.199999999999999734e-01,4.654138757906277069e-01
7.399999999999999911e-01,4.382977311890638994e-01
7.600000000000000089e-01,4.086715504163276891e-01
7.800000000000000266e-01,3.752870802624087010e-01
8.000000000000000444e-01,3.442654338159267247e-01
8.200000000000000622e-01,3.163645267733620203e-01
8.399999999999999689e-01,2.931093968759660995e-01
8.599999999999999867e-01,2.745713265525079883e-01
8.800000000000000044e-01,2.573693667437401134e-01
9.000000000000000222e-01,2.402277481435396433e-01
9.200000000000000400e-01,2.234369349766991697e-01
9.400000000000000577e-01,2.034896292664381545e-01
9.599999999999999645e-01,1.985959487725493244e-01
9.799999999999999822e-01,1.805385475687451002e-01
1.000000000000000000e+00,1.643839664035081916e-01
1.020000000000000018e+00,1.547345924227744030e-01
1.040000000000000036e+00,1.389028280696044115e-01
1.060000000000000053e+00,1.236634048203365949e-01
1.080000000000000071e+00,1.200950164399819386e-01
1.100000000000000089e+00,1.148643922550506707e-01
1.120000000000000107e+00,1.089127723697443650e-01
1.140000000000000124e+00,1.037795682216503812e-01
1.159999999999999920e+00,9.996278686814816239e-02
1.179999999999999938e+00,9.646566512830570539e-02
1.199999999999999956e+00,9.385902587850647460e-02
1.219999999999999973e+00,9.323176208420221045e-02
1.239999999999999991e+00,9.129304660172528341e-02
1.260000000000000009e+00,8.905659894193300452e-02
1.280000000000000027e+00,8.471245422198335484e-02
1.300000000000000044e+00,7.716217055804962255e-02
1.320000000000000062e+00,6.889358558920434528e-02
1.340000000000000080e+00,5.894134427349998623e-02
1.360000000000000098e+00,4.938660093648795241e-02
1.380000000000000115e+00,4.168938187861054301e-02
1.400000000000000133e+00,3.557239883486964377e-02
1.419999999999999929e+00,3.154683109686680365e-02
1.439999999999999947e+00,2.969353322047958710e-02
1.459999999999999964e+00,2.953627688448589098e-02
1.479999999999999982e+00,3.090493170866634096e-02
1.500000000000000000e+00,3.265561886148492243e-02
1.520000000000000018e+00,3.414787925060910195e-02
1.540000000000000036e+00,3.587851151135560551e-02
1.560000000000000053e+00,3.504991468395542847e-02
1.580000000000000071e+00,3.186485153069505694e-02
1.600000000000000089e+00,2.806013293796421129e-02
1.620000000000000107e+00,2.409806027298629083e-02
1.640000000000000124e+00,1.972448305521872294e-02
1.660000000000000142e+00,1.564469765869813331e-02
1.679999999999999938e+00,1.296868460605027883e-02
1.699999999999999956e+00,1.121105356359409708e-02
1.719999999999999973e+00,9.913942291513934760e-03
1.739999999999999991e+00,8.943986449375503078e-03
1.760000000000000009e+00,8.211541367350295301e-03
1.780000000000000027e+00,7.591985872980576595e-03
1.800000000000000044e+00,6.929123072350666830e-03
