t,avg_L
0.000000000000000000e+00,9.999999999999372724e-01
2.000000000000000042e-02,6.760690010489278645e-01
4.000000000000000083e-02,9.239413220723984299e-01
5.999999999999999778e-02,9.631483188639403670e-01
8.000000000000000167e-02,7.851837409747846053e-01
1.000000000000000056e-01,6.975997762586196860e-01
1.199999999999999956e-01,9.309750477450681183e-01
1.400000000000000133e-01,1.005308930478816754e+00
1.600000000000000033e-01,8.879696537826261560e-01
1.799999999999999933e-01,8.285031692179585239e-01
2.000000000000000111e-01,7.477842558574258058e-01
2.200000000000000011e-01,7.443294958774173686e-01
2.399999999999999911e-01,8.788459979801215294e-01
2.600000000000000089e-01,7.396318527456332559e-01
2.800000000000000266e-01,7.578358400857394539e-01
2.999999999999999889e-01,4.902720756537024549e-01
3.200000000000000067e-01,7.060496740564060625e-01
3.400000000000000244e-01,7.381214386859904497e-01
3.599999999999999867e-01,6.527432125718319877e-01
3.800000000000000044e-01,5.360658404559528467e-01
4.000000000000000222e-01,6.487683499691787592e-01
4.199999999999999845e-01,6.731821314452383076e-01
4.400000000000000022e-01,6.275462266574312054e-01
4.600000000000000200e-01,6.220650773189697613e-01
4.799999999999999822e-01,5.966731217337855053e-01
5.000000000000000000e-01,4.591002000918918968e-01
5.200000000000000178e-01,6.827519010463581894e-01
5.400000000000000355e-01,5.270660547894236991e-01
5.600000000000000533e-01,5.688300169326696576e-01
5.799999999999999600e-01,3.736311134323276328e-01
5.999999999999999778e-01,5.200457575278090161e-01
6.199999999999999956e-01,6.364985862445834419e-01
6.400000000000000133e-01,5.716141366450037120e-01
6.600000000000000311e-01,4.876437945519244144e-01
6.800000000000000488e-01,4.317173536813894152e-01
7.000000000000000666e-01,4.023168051755223185e-01
7.199999999999999734e-01,6.949441272284303528e-01
7.399999999999999911e-01,4.053516912644625769e-01
7.600000000000000089e-01,3.962015179857730218e-01
7.800000000000000266e-01,3.493816371370760399e-01
8.000000000000000444e-01,3.322804085331795276e-01
8.200000000000000622e-01,4.418505901821444537e-01
8.399999999999999689e-01,4.008260512840950418e-01
8.599999999999999867e-01,2.772431131978775887e-01
8.800000000000000044e-01,2.764223132693363061e-01
9.000000000000000222e-01,3.072926759144958830e-01
9.200000000000000400e-01,3.832357598631395135e-01
9.400000000000000577e-01,2.350733898547640310e-01
9.599999999999999645e-01,2.429612320518232671e-01
9.799999999999999822e-01,1.593709296502729689e-01
1.000000000000000000e+00,2.181689065540446115e-01
1.020000000000000018e+00,2.439987810469781138e-01
1.040000000000000036e+00,1.717112574759697696e-01
1.060000000000000053e+00,1.535209220540512398e-01
1.080000000000000071e+00,1.076343955841669309e-01
1.100000000000000089e+00,1.347288741042019511e-01
1.120000000000000107e+00,2.079765914241624158e-01
1.140000000000000124e+00,1.071394546382985341e-01
1.159999999999999920e+00,9.621692201980680537e-02
1.179999999999999938e+00,1.092581061884172616e-01
1.199999999999999956e+00,1.143755287644945134e-01
1.219999999999999973e+00,1.141938092699000262e-01
1.239999999999999991e+00,1.382896549767946848e-01
1.260000000000000009e+00,9.110556741596612107e-02
1.280000000000000027e+00,9.827551782650539858e-02
1.300000000000000044e+00,8.445289118168300413e-02
1.320000000000000062e+00,1.249582829350375929e-01
1.340000000000000080e+00,1.162972593460924603e-01
1.360000000000000098e+00,7.564128859722146769e-02
1.380000000000000115e+00,8.179232223937689394e-02
1.400000000000000133e+00,7.947337321617052586e-02
