t,traj_0,traj_1,traj_2,traj_3,traj_4
0.000000000000000000e+00,1.000000000001008083e+00,1.000000000001005862e+00,1.000000000000979661e+00,1.000000000001046496e+00,1.000000000000974110e+00
2.000000000000000042e-02,9.663315448819871367e-01,9.657671290765232897e-01,9.907725978363595143e-01,7.914687006628307042e-01,9.876144451169220906e-01
4.000000000000000083e-02,9.510742671281702254e-01,9.068154893686924956e-01,9.820024608538409083e-01,1.726934619144566974e-01,9.892391681509146162e-01
5.999999999999999778e-02,9.581929279836293167e-01,9.925395432008842223e-01,9.984052932299902761e-01,6.557458391299264555e-01,9.905831307642090078e-01
8.000000000000000167e-02,9.121522994532004214e-01,6.854199105524797497e-01,9.367956334896839765e-01,6.210743851542464000e-01,9.812857491458658599e-01
1.000000000000000056e-01,9.123044700268528873e-01,7.450054636270511121e-01,9.372049632833090449e-01,2.118619276928487838e-01,9.969921370771787084e-01
1.199999999999999956e-01,9.422642622370235310e-01,9.449455928999490606e-01,9.802315680453930202e-01,-5.315570570287484475e-01,9.970049291687680393e-01
1.400000000000000133e-01,8.252891995643507617e-01,5.906760733557273602e-01,8.471170007129628088e-01,-6.012195109125663406e-02,9.869078118034696478e-01
1.600000000000000033e-01,9.050203350726868656e-01,8.124935702824540584e-01,8.952383422072208718e-01,1.764825753812465647e-01,9.906384990468207752e-01
1.799999999999999933e-01,9.196016408403403508e-01,9.081984134853028356e-01,9.284222807574312730e-01,3.829151083831773827e-01,9.844412895900286342e-01
2.000000000000000111e-01,8.006225277754344116e-01,8.382662163662031318e-01,7.824781016398330014e-01,2.402049434447817156e-01,9.868649663567059527e-01
2.200000000000000011e-01,8.612107804677925360e-01,8.928706564851901506e-01,8.593774778715789209e-01,8.290085698680487170e-01,9.882012979222007942e-01
2.399999999999999911e-01,8.436941968407496439e-01,8.662732036301600269e-01,8.504098649730023052e-01,8.732289974782216913e-01,9.783297922912435052e-01
2.600000000000000089e-01,8.202102394770822702e-01,7.719506538416867070e-01,7.607516641201207408e-01,9.429210796716089860e-01,9.782629827746537332e-01
2.800000000000000266e-01,8.622923268010708187e-01,7.535777574774361609e-01,8.031353410895905043e-01,6.791415095689022907e-01,9.756571889161606004e-01
2.999999999999999889e-01,8.461736288641088510e-01,6.619504218942010576e-01,7.674718915246115936e-01,9.290575495085376945e-01,9.664674624667164426e-01
3.200000000000000067e-01,8.508194939574734716e-01,4.148380848886183414e-01,7.279102046976866358e-01,7.155018776674360037e-01,9.630529896942296997e-01
3.400000000000000244e-01,8.720940348611458948e-01,5.764425278976587075e-01,7.166325563260947940e-01,8.126228925235410294e-01,9.567409068080838797e-01
3.599999999999999867e-01,8.735731532256879595e-01,4.657239298750847634e-01,6.784383523602032229e-01,5.485886908483833535e-01,9.486489893159925080e-01
3.800000000000000044e-01,8.522505539966205301e-01,3.553746237114857598e-01,6.403832234841948523e-01,4.516212718333627030e-01,9.423929274702196324e-01
4.000000000000000222e-01,8.547324326231611202e-01,5.397258580911205028e-01,6.225516141332019249e-01,-1.544072383811313093e-02,9.358734731243757432e-01
4.199999999999999845e-01,9.018409868177176270e-01,5.117074887005909067e-01,5.858946956128228134e-01,2.437366037261095297e-01,9.296147731596958730e-01
4.400000000000000022e-01,8.574332895954597245e-01,5.419066370547489520e-01,5.399643721361755411e-01,3.919985879026947062e-01,9.211581197484888239e-01
4.600000000000000200e-01,8.886690669405700183e-01,5.743200078602296310e-01,5.601830055168294242e-01,5.416612483860097083e-01,9.049527567927216909e-01
4.799999999999999822e-01,8.839815467668148408e-01,5.554626838880315498e-01,5.121398968101081861e-01,2.478719209184208072e-01,8.981755975268280734e-01
5.000000000000000000e-01,8.593445898711721265e-01,4.988508843386582070e-01,4.778238926710784429e-01,5.948681227510287384e-01,8.903308821279181107e-01
5.200000000000000178e-01,8.780936082440060630e-01,5.081887970431201440e-01,5.303825288087601342e-01,7.083462935643256575e-01,8.823825304070695985e-01
5.400000000000000355e-01,8.338816577713490386e-01,3.481905515907909865e-01,4.700513822308877154e-01,5.791735199073330120e-01,8.690670537160540832e-01
5.600000000000000533e-01,8.232179651392615982e-01,2.987511272846454791e-01,4.727787290827067390e-01,1.081701752974183750e-01,8.522699885468653092e-01
5.799999999999999600e-01,8.075306261395951424e-01,3.931020333321715299e-01,5.244128349651905330e-01,4.563195149147710739e-01,8.429341743368538031e-01
5.999999999999999778e-01,7.377436201360307866e-01,2.513257304754701327e-01,4.762392952234005272e-01,6.484327015263382510e-01,8.310660768636801699e-01
6.199999999999999956e-01,7.151731282593083439e-01,3.426127104924993061e-01,5.092684589028122488e-01,5.770977858442243313e-01,8.169861302502089417e-01
6.400000000000000133e-01,6.462135182848297577e-01,4.763303826779954342e-01,5.254071151769541537e-01,7.987310084884519101e-02,8.089600561979403137e-01
6.600000000000000311e-01,5.937747830954641648e-01,4.876823627713768872e-01,4.957244741376440889e-01,2.975335422113645767e-01,7.925310897750615924e-01
6.800000000000000488e-01,5.610552917223635694e-01,5.828131845863282479e-01,5.164082323747903880e-01,4.151079897722318446e-01,7.782537572405721082e-01
7.000000000000000666e-01,4.835415461697681327e-01,6.097091009081804236e-01,4.981178417730882102e-01,3.540516707475871439e-01,7.635464228931059250e-01
7.199999999999999734e-01,4.441783963397118451e-01,5.559786187422977033e-01,4.690310352019725348e-01,7.935732564450201365e-02,7.454023510182832268e-01
7.399999999999999911e-01,3.953291858447110507e-01,4.964849533656880975e-01,4.661763335850457879e-01,3.395479783868200485e-01,7.362268219685271786e-01
