t,traj_0,traj_1,traj_2,traj_3,traj_4
0.000000000000000000e+00,1.000000000001259215e+00,1.000000000000562439e+00,9.999999999977260412e-01,9.999999999980493381e-01,9.999999999984969801e-01
2.000000000000000042e-02,7.180938623211230443e-01,8.843268090094178469e-01,9.911914365167071583e-01,1.171589295254267249e+00,1.003580133997568513e+00
4.000000000000000083e-02,7.236972436606263770e-01,2.270440007290074891e-01,-1.395176710668807774e+00,3.895142696042899200e-01,2.177493791774348653e-01
5.999999999999999778e-02,7.556421230437067038e-01,2.510539745225214281e-01,-8.925926459047258676e-01,1.571033370471845714e-01,3.604956741194354497e-01
8.000000000000000167e-02,7.602258572323120633e-01,6.346135675513253638e-01,7.094446765187502058e-01,8.319814873906803410e-01,7.964663837584882167e-01
1.000000000000000056e-01,7.450762982189063077e-01,2.272141571929198467e-01,1.303661857473152885e-01,2.055513989956941900e-01,4.960072586466487410e-01
1.199999999999999956e-01,1.008481307607435484e+00,1.184635795681666437e+00,6.370254572476218291e-01,1.310515802620326742e+00,8.346008648879094105e-01
1.400000000000000133e-01,7.763928254755719793e-01,9.887258027428839080e-01,-1.774654181655021534e-01,-1.573235768975033422e-01,9.853405307991158768e-01
1.600000000000000033e-01,8.349868964990498910e-01,4.543864182243018690e-01,6.363459100412667269e-01,-7.710579303735717524e-03,7.097404765923208680e-01
1.799999999999999933e-01,7.562196825723622728e-01,4.867662944250168988e-01,3.123412848112127604e-01,2.297258785436274708e-01,6.072098961543320739e-01
2.000000000000000111e-01,7.731484993111056303e-01,5.131928285893703201e-01,3.281479602434812515e-01,9.955027775895364250e-02,3.938310010603551237e-01
2.200000000000000011e-01,8.856141963302091025e-01,9.332535572092621745e-01,8.416944991182707669e-01,1.035771975259667244e+00,1.115040241877615967e+00
2.399999999999999911e-01,8.000231242298464496e-01,6.101350781169215809e-01,-2.950493195297116067e+00,-8.102881697273455197e-01,6.631083820420179409e-01
2.600000000000000089e-01,4.764531491591297852e-01,1.307241314115211439e-01,3.278198804141534417e-01,3.069839785992765080e-01,5.421058745157842917e-01
2.800000000000000266e-01,7.327696978284926610e-01,6.144841964657283828e-01,4.443617917163090181e-01,3.522073164278468060e-01,5.282290466694249398e-01
2.999999999999999889e-01,6.421535194316667639e-01,3.822057122257889183e-01,2.978737206179669084e-01,1.693351861017717563e-01,3.646818624447293877e-01
3.200000000000000067e-01,1.091425706160688458e+00,1.140753377579084127e+00,1.404846034320127446e+00,7.969171361433179390e-01,8.410732227764151636e-01
3.400000000000000244e-01,8.437494754606341685e-01,1.509755980057468361e-01,-6.083106025832363262e-01,-5.452760725572298739e-01,1.223500062790092158e-01
3.599999999999999867e-01,7.600213198835493733e-01,4.193852021708064925e-01,-2.626933409972362354e-01,5.366581757126753782e-01,2.357013412297871702e-01
3.800000000000000044e-01,5.343021385962782865e-01,2.253034477971581351e-01,1.674844601968440705e-01,2.543184026871153081e-01,3.264310187057429813e-01
4.000000000000000222e-01,7.202061126481703601e-01,2.798786890536268390e-01,1.415138466154545749e-01,2.163329891812794947e-01,5.671316998040237811e-01
4.199999999999999845e-01,1.111697017510542507e+00,1.199400671848024347e+00,1.295871276114699322e+00,1.209495889028523674e+00,1.326120119757087989e+00
4.400000000000000022e-01,8.135307578747501545e-01,3.511078989878737566e-01,-8.045575218947684792e-01,-4.203374626987616547e-01,9.486649676751148785e-01
4.600000000000000200e-01,5.110736651432239430e-01,5.565743101703853890e-01,2.094814426244770156e-01,3.367367424965567180e-01,3.961610544889649921e-01
4.799999999999999822e-01,5.112961038530411395e-01,3.523167410698053170e-01,5.054227123028305624e-02,2.130314992696109855e-01,4.355797187067322329e-01
5.000000000000000000e-01,4.613477139538870175e-01,1.496871443654593792e-01,8.120305953693213175e-02,1.956296416412427186e-01,4.461290269215840154e-01
5.200000000000000178e-01,1.089270592755666955e+00,1.437774904698903011e+00,6.747823666713599344e-01,1.141252856276947281e+00,1.424630725244098839e+00
5.400000000000000355e-01,5.668594385876216668e-01,3.965650931802480739e-01,-1.171714245112984942e+00,-6.108455608264844461e-01,8.335651619165073134e-01
5.600000000000000533e-01,4.531251118890920471e-01,4.277209069010229348e-01,2.719003889964294873e-01,3.344279592984553684e-01,5.145172640031482336e-01
5.799999999999999600e-01,3.444627716735733647e-01,2.972594289960340808e-01,9.854490251551682733e-02,2.621494742767556674e-01,5.744126570445696744e-01
5.999999999999999778e-01,5.188869012856576202e-01,4.023221763072011847e-01,1.840847630882008479e-01,1.718531834100450739e-01,4.038078680485053806e-01
6.199999999999999956e-01,1.159671475089362414e+00,1.514681931040511076e+00,-1.032126242906435509e+00,1.729164816177303887e+00,1.119165201250531094e+00
6.400000000000000133e-01,8.245768311546304297e-01,1.186900142021534710e-01,1.920942643545514861e-01,-6.284541120746944820e-01,3.194781333398285517e-01
6.600000000000000311e-01,3.313629953158357955e-01,2.804829914235580368e-01,2.244066111748068137e-01,1.892383270782081739e-01,3.645323840506346502e-01
6.800000000000000488e-01,3.379091479701015199e-01,2.846768521346657588e-01,5.789184095291841081e-02,1.374878402018585022e-01,4.074257095968409903e-01
7.000000000000000666e-01,3.613920395628063553e-01,2.968309196327097998e-01,1.130808597764279694e-01,1.514885104584971776e-01,3.237544900458936281e-01
7.199999999999999734e-01,7.211716544082767966e-01,1.658354986954055699e+00,-9.271951875153861877e+00,-9.964587623537707328e-01,1.267239596502850008e+00
7.399999999999999911e-01,4.159235770922913300e-01,9.471915677813688011e-03,-2.041766324363670226e-01,7.073289239284709373e-02,4.323837870678816642e-01
7.600000000000000089e-01,2.700181694459422022e-01,2.976894382525548943e-01,4.868499519903558836e-02,1.911771292439580217e-01,4.084356731867467838e-01
7.800000000000000266e-01,1.550440389884765735e-01,3.519858152014528341e-01,1.714827638538830509e-02,7.332825462512057579e-02,3.840612502182573218e-01
8.000000000000000444e-01,2.980240247156510924e-01,2.718239005806112329e-01,1.228548941837590558e-01,1.152464172665516040e-01,3.025078615543891347e-01
8.200000000000000622e-01,6.132739381210448038e-01,9.977744897539417845e-01,-1.731044449252172298e-03,-9.353948248022218859e-02,7.395864262558882185e-01
8.399999999999999689e-01,3.756505805580123702e-01,4.688955559586814870e-01,-3.731382089600988605e-01,6.744036021088120614e-02,4.998649579997588299e-01
8.599999999999999867e-01,1.557731275781193137e-01,1.522611533580240373e-01,1.523625907900749421e-01,7.024507476423688668e-02,3.294993714396717843e-01
8.800000000000000044e-01,1.890427934459650294e-01,1.405394470675557228e-01,6.181206765935742115e-02,7.083687130622987049e-02,3.342100442557732198e-01
9.000000000000000222e-01,1.803645149942393888e-01,1.709463819838578091e-01,1.206973656214819085e-01,4.540873337902607415e-02,1.977475832053197102e-01
9.200000000000000400e-01,4.397335889425244004e-01,9.165027377856468371e-01,-1.562295010373189363e+01,-1.331428426221648698e+00,1.419390386552680239e+00
9.400000000000000577e-01,2.647843785936004335e-01,2.573045680848681793e-01,-1.801571814688201212e-01,3.711938582561261774e-02,5.469883195250597741e-01
9.599999999999999645e-01,1.557901673228758999e-01,9.834027560413123592e-02,1.220506467036137632e-01,4.194147357784490382e-02,2.476384976870654731e-01
9.799999999999999822e-01,1.577272578215241083e-01,1.190961210261094472e-01,4.104058869206402005e-02,4.259334265839171546e-02,3.053613635793520631e-01
1.000000000000000000e+00,1.922081642824965686e-01,1.197628806439460791e-01,9.791930965916761931e-02,4.055311282495029784e-02,2.381261527770613950e-01
1.020000000000000018e+00,3.283833479924308518e-01,3.261337048636973046e-01,-7.268548804102545446e+00,-1.946141600114770220e-01,8.491351446951013182e-01
1.040000000000000036e+00,1.733917780598275005e-01,1.340652426318438839e-01,1.161720943018660357e-01,6.988844140187683296e-02,1.597353466627062235e-01
1.060000000000000053e+00,9.573519772665300964e-02,1.181176158155317207e-01,3.251106916046114792e-02,2.051160567723065570e-02,2.175262105873426721e-01
1.080000000000000071e+00,1.197814158313689065e-01,7.053307213234057127e-02,1.359263389333463697e-02,3.332799181177514142e-02,2.349552936883053667e-01
1.100000000000000089e+00,1.181375991550419752e-01,5.402656127310020984e-02,8.242581908136192848e-02,3.068408234180750038e-02,4.309746900456660201e-01
1.120000000000000107e+00,2.366694506014612176e-01,2.056049929291777489e-01,-2.349262509073779093e+00,1.694929985416011864e-01,5.759440216678233249e-01
1.140000000000000124e+00,1.182506508389428723e-01,1.312565480007834018e-01,-7.847534934320382627e-02,2.148364079741013621e-02,2.898455641599643751e-01
1.159999999999999920e+00,1.038200684528662460e-01,5.174344609453385146e-02,4.290743038394456005e-02,3.384157295441673347e-02,1.579359551788698246e-01
1.179999999999999938e+00,1.092094933243621391e-01,4.885843738352473736e-02,9.741517503223386110e-02,3.730357520783311037e-02,2.217468289618975685e-01
1.199999999999999956e+00,8.822914683845575756e-02,4.571228646074444735e-02,6.075487703919930232e-02,5.139624590913512148e-02,2.680104825850954109e-01
1.219999999999999973e+00,1.512206622960113878e-01,2.704873063447197912e-01,-1.635922761706993356e+00,-2.011292329327160899e-01,4.115608637161617955e-01
1.239999999999999991e+00,7.686392764360278074e-02,5.109112456478948766e-02,1.824698305094104786e-02,1.797188026398128732e-02,1.988663769302883300e-01
1.260000000000000009e+00,4.488536387327594912e-02,2.772110837742875269e-02,3.284923029730192623e-02,3.514826634560412610e-02,1.731427111375923589e-01
1.280000000000000027e+00,8.566050707582875678e-02,3.480643015444616351e-02,3.323001945567496951e-02,4.960208098744798427e-02,2.138916148363656788e-01
1.300000000000000044e+00,5.266993827346964918e-02,4.090124725816639967e-02,4.722801691074238195e-02,4.055644248409371461e-02,9.361505359856714392e-02
1.320000000000000062e+00,1.081177209651042886e-01,8.963616919385357373e-02,-2.905186182960572516e+00,-3.845826479478401394e-01,3.448465958035531465e-01
1.340000000000000080e+00,4.126953674921290949e-02,3.042568447968155981e-02,1.931136593067817389e-02,2.961178037395666499e-02,1.489911464265290530e-01
1.360000000000000098e+00,4.496296934619823521e-02,3.106177221267427888e-02,1.620733509194299815e-02,2.005793709894003116e-02,1.521783693968849216e-01
