t,avg_L
0.000000000000000000e+00,9.999999999965988318e-01
2.000000000000000042e-02,9.607355029824488080e-01
4.000000000000000083e-02,9.900865118241045648e-01
5.999999999999999778e-02,9.522043544702437634e-01
8.000000000000000167e-02,9.869269005782846937e-01
1.000000000000000056e-01,9.891743695766638256e-01
1.199999999999999956e-01,9.832282620774549509e-01
1.400000000000000133e-01,9.393666419830172254e-01
1.600000000000000033e-01,9.614275707788471070e-01
1.799999999999999933e-01,9.601773954694824420e-01
2.000000000000000111e-01,9.338915684222680591e-01
2.200000000000000011e-01,9.601484547830083649e-01
2.399999999999999911e-01,9.087808956848993924e-01
2.600000000000000089e-01,9.343817075492140134e-01
2.800000000000000266e-01,9.166539108435475258e-01
2.999999999999999889e-01,8.886872217514445449e-01
3.200000000000000067e-01,9.053619175286279352e-01
3.400000000000000244e-01,8.937137767023396462e-01
3.599999999999999867e-01,8.728942163910453633e-01
3.800000000000000044e-01,8.572551063339823862e-01
4.000000000000000222e-01,8.638956879456892723e-01
4.199999999999999845e-01,8.241893712974841524e-01
4.400000000000000022e-01,8.080848442952863753e-01
4.600000000000000200e-01,7.983384933852035736e-01
4.799999999999999822e-01,7.835896470003126391e-01
5.000000000000000000e-01,7.598916035135534486e-01
5.200000000000000178e-01,7.641925388236956440e-01
5.400000000000000355e-01,7.511967291880170539e-01
5.600000000000000533e-01,7.031653099031585086e-01
5.799999999999999600e-01,7.120348766648102457e-01
5.999999999999999778e-01,7.103185005829747434e-01
6.199999999999999956e-01,6.838743865587940673e-01
6.400000000000000133e-01,6.820527752928922105e-01
6.600000000000000311e-01,6.373617530793360686e-01
6.800000000000000488e-01,6.418938372506564072e-01
7.000000000000000666e-01,6.240622018209794897e-01
7.199999999999999734e-01,6.020120528334740317e-01
7.399999999999999911e-01,5.876943700784180713e-01
7.600000000000000089e-01,5.683231557381572818e-01
7.800000000000000266e-01,5.375881730174661977e-01
8.000000000000000444e-01,5.120907394004184932e-01
8.200000000000000622e-01,4.847081452158638060e-01
8.399999999999999689e-01,4.582957085706464984e-01
8.599999999999999867e-01,4.369472724078460879e-01
8.800000000000000044e-01,4.136161786413913855e-01
9.000000000000000222e-01,3.893163171669925537e-01
9.200000000000000400e-01,3.651165194432722250e-01
9.400000000000000577e-01,3.371423230939251114e-01
9.599999999999999645e-01,3.156608221365521105e-01
9.799999999999999822e-01,2.809294067650535687e-01
1.000000000000000000e+00,2.746856357693436834e-01
1.020000000000000018e+00,2.555762071983609940e-01
1.040000000000000036e+00,2.307782200509774229e-01
1.060000000000000053e+00,2.165825200084516844e-01
1.080000000000000071e+00,1.868037088694583792e-01
1.100000000000000089e+00,1.825033363438845202e-01
1.120000000000000107e+00,1.594945884380249423e-01
1.140000000000000124e+00,1.533306058776674752e-01
1.159999999999999920e+00,1.426999942488141604e-01
1.179999999999999938e+00,1.304350818206787832e-01
1.199999999999999956e+00,1.331853887888559407e-01
1.219999999999999973e+00,1.198087467999239680e-01
1.239999999999999991e+00,1.089403090680764880e-01
1.260000000000000009e+00,1.014666737902214788e-01
1.280000000000000027e+00,8.426194272538081731e-02
1.300000000000000044e+00,7.933601147298489920e-02
1.320000000000000062e+00,7.783982861298276157e-02
1.340000000000000080e+00,7.496485343962173975e-02
1.360000000000000098e+00,6.513802079644434584e-02
1.380000000000000115e+00,5.911115465125455631e-02
1.400000000000000133e+00,4.664682682574338574e-02
1.419999999999999929e+00,4.824247194128766097e-02
1.439999999999999947e+00,3.319371723682100483e-02
1.459999999999999964e+00,4.092127900602246515e-02
1.479999999999999982e+00,2.895166104520816019e-02
1.500000000000000000e+00,3.052414934956798609e-02
1.520000000000000018e+00,2.577848740252610196e-02
1.540000000000000036e+00,2.349241224457364677e-02
1.560000000000000053e+00,2.540149704894367061e-02
1.580000000000000071e+00,2.276774198132004365e-02
1.600000000000000089e+00,2.131497244050129664e-02
1.620000000000000107e+00,1.533491769044390690e-02
1.640000000000000124e+00,1.763185782386305148e-02
1.660000000000000142e+00,1.361887731412367471e-02
1.679999999999999938e+00,1.109068450345706419e-02
1.699999999999999956e+00,1.180796194725327285e-02
1.719999999999999973e+00,1.006523692321053751e-02
1.739999999999999991e+00,8.683115872964067283e-03
1.760000000000000009e+00,7.043754008053584002e-03
1.780000000000000027e+00,6.096374954144871509e-03
1.800000000000000044e+00,6.199707104766214415e-03
1.820000000000000062e+00,6.641417171010220027e-03
1.840000000000000080e+00,6.870989544229471474e-03
1.860000000000000098e+00,6.331109290407691513e-03
1.880000000000000115e+00,5.579749634541367534e-03
1.900000000000000133e+00,5.089839792901269463e-03
1.919999999999999929e+00,5.275683642200848684e-03
1.939999999999999947e+00,5.459229397319360910e-03
1.959999999999999964e+00,4.989387293004980163e-03
1.979999999999999982e+00,4.080700844508015207e-03
2.000000000000000000e+00,3.165901434442177156e-03
2.020000000000000018e+00,2.838228125298779964e-03
2.040000000000000036e+00,3.044813399429625173e-03
