t,traj_0,traj_1,traj_2,traj_3,traj_4
0.000000000000000000e+00,9.999999999965988318e-01,9.999999999972430942e-01,9.999999999963770092e-01,9.999999999964465092e-01,9.999999999967696951e-01
2.000000000000000042e-02,9.032250279673235127e-01,9.915819723586860590e-01,9.461482128877373166e-01,9.950125683506181318e-01,9.607355029824488080e-01
4.000000000000000083e-02,9.585916456575851452e-01,9.914894413889506763e-01,9.941943349005298858e-01,9.900865118241045648e-01,8.891049884522953528e-01
5.999999999999999778e-02,9.522043544702437634e-01,9.977791520098575617e-01,9.515270399898900777e-01,9.962387970828442407e-01,8.968103748017111077e-01
8.000000000000000167e-02,8.863162989792284785e-01,9.944372218330999047e-01,9.869269005782846937e-01,9.942074342344101590e-01,8.783522001152560543e-01
1.000000000000000056e-01,9.891743695766638256e-01,9.934296524502570502e-01,9.407259181575750029e-01,9.932469084709653062e-01,8.468802755797593118e-01
1.199999999999999956e-01,9.799963387627268485e-01,9.917376133928588189e-01,9.832282620774549509e-01,9.918536871729695115e-01,9.428403802794760313e-01
1.400000000000000133e-01,8.971804341128709614e-01,9.869124487173817073e-01,9.393666419830172254e-01,9.875665677615792504e-01,7.828497221909964665e-01
1.600000000000000033e-01,9.299847340172539001e-01,9.869304663338905881e-01,9.614275707788471070e-01,9.851382201262343097e-01,6.553581280793312480e-01
1.799999999999999933e-01,9.601773954694824420e-01,9.772587970815732605e-01,9.017409949936429081e-01,9.803716505229639333e-01,8.462824364124715837e-01
2.000000000000000111e-01,9.304232644985930278e-01,9.669396394780753745e-01,9.338915684222680591e-01,9.707735786596549676e-01,8.323587523473969796e-01
2.200000000000000011e-01,9.686738753676119584e-01,9.601484547830083649e-01,8.921879589953500833e-01,9.631470821075240885e-01,7.237223329571521591e-01
2.399999999999999911e-01,8.944996202435824273e-01,9.518505150028379047e-01,9.087808956848993924e-01,9.584299784943836054e-01,7.604869881222177108e-01
2.600000000000000089e-01,9.343817075492140134e-01,9.404149970835173900e-01,8.326547098635207478e-01,9.506329808845711549e-01,8.038248899104104561e-01
2.800000000000000266e-01,9.166539108435475258e-01,9.325424816497189795e-01,8.770229581998000290e-01,9.357082981858779736e-01,8.051402479528966261e-01
2.999999999999999889e-01,8.886872217514445449e-01,9.214027819736756442e-01,8.461880910307183479e-01,9.151056148703077264e-01,7.578123058092097741e-01
3.200000000000000067e-01,9.228920995434859442e-01,9.042736373987425580e-01,8.723551531620249433e-01,9.053619175286279352e-01,9.305456497342877720e-01
3.400000000000000244e-01,8.937137767023396462e-01,8.855725367392957015e-01,8.053049955915201341e-01,8.981554279657070206e-01,9.096769737613762397e-01
3.599999999999999867e-01,8.793010878460371105e-01,8.728942163910453633e-01,8.643742972833196037e-01,8.785986194720459830e-01,7.516612120358047155e-01
3.800000000000000044e-01,8.158635226192284540e-01,8.572551063339823862e-01,8.417902834771010534e-01,8.574219781425562736e-01,9.002814111225800886e-01
4.000000000000000222e-01,8.710429195073374764e-01,8.393373408253553825e-01,8.638956879456892723e-01,8.308239631512442935e-01,9.267883877749963917e-01
4.199999999999999845e-01,8.487945702104060519e-01,8.241893712974841524e-01,8.133085747072226201e-01,8.072220205212236044e-01,8.719365976453330447e-01
4.400000000000000022e-01,7.844430043280943288e-01,8.080848442952863753e-01,8.400567060699045685e-01,7.899882198112323506e-01,8.517516669003221130e-01
4.600000000000000200e-01,7.696873814749862763e-01,7.983384933852035736e-01,8.453694145647449032e-01,7.789088009075737506e-01,8.605645860979252992e-01
4.799999999999999822e-01,7.480194170821674593e-01,7.835896470003126391e-01,8.236116932114995182e-01,7.620676514579995953e-01,8.699942637674976664e-01
5.000000000000000000e-01,7.122609841478652060e-01,7.724155411266171445e-01,7.871036158607064293e-01,7.431795652677221087e-01,7.598916035135534486e-01
5.200000000000000178e-01,7.328649428614991690e-01,7.641925388236956440e-01,7.905116845727538921e-01,7.130993248762791392e-01,8.835131280100703144e-01
5.400000000000000355e-01,6.896166117576715271e-01,7.511967291880170539e-01,7.946847875214062551e-01,6.808284131559807495e-01,8.257513064807022740e-01
