t,traj_0,traj_1,traj_2,traj_3,traj_4
0.000000000000000000e+00,9.999999999998011591e-01,9.999999999996981304e-01,9.999999999995863309e-01,9.999999999999122924e-01,9.999999999999202860e-01
2.000000000000000042e-02,8.700127970028347368e-01,6.552989144116392328e-01,7.690303498925425973e-01,6.680295770645809927e-01,8.207073911904275709e-01
4.000000000000000083e-02,6.947260342594334670e-01,8.310653570934236622e-01,7.954339227236839616e-01,9.328002727554405293e-01,7.599658539946951841e-01
5.999999999999999778e-02,7.305157353059317238e-01,7.830175019310677831e-01,7.311742895058708225e-01,7.966289387667847555e-01,7.752681705536316192e-01
8.000000000000000167e-02,8.806001404112883124e-01,7.077881450027849741e-01,6.600154530621371585e-01,8.387901908676153040e-01,8.578225599805703316e-01
1.000000000000000056e-01,5.742308865914924620e-01,7.404079093528875832e-01,9.587725764531823680e-01,7.352748001866944438e-01,9.974172674496613045e-01
1.199999999999999956e-01,8.431193757009095568e-01,8.378530397948121822e-01,9.186671441371443425e-01,1.030284608856731232e+00,7.831381417790921340e-01
1.400000000000000133e-01,4.994453926900256358e-01,8.070417913518287412e-01,8.880807274921902472e-01,1.096616205197297189e+00,7.456656973637054708e-01
1.600000000000000033e-01,7.584985004477515780e-01,8.606736365191377525e-01,8.196432770474941787e-01,9.379315389837313832e-01,7.884942084502659654e-01
1.799999999999999933e-01,7.313957954576724152e-01,7.613002899444935023e-01,8.227901191781369361e-01,8.737023390136541279e-01,8.874514099396105804e-01
2.000000000000000111e-01,4.796534229684228934e-01,6.677316445537653244e-01,8.368859831252675185e-01,6.682889956666552278e-01,9.838017486654528909e-01
2.200000000000000011e-01,8.037292230875989762e-01,5.491383642960103728e-01,7.887399538028987411e-01,9.858808585495882904e-01,7.350481576467187139e-01
2.399999999999999911e-01,8.153785843057199667e-01,6.601109576514569977e-01,8.433134140299581860e-01,8.703784900590543216e-01,7.242883690067603020e-01
2.600000000000000089e-01,5.079711261789078280e-01,3.348949951085137822e-01,6.667443268401427314e-01,8.480393668119725614e-01,7.883951848281662844e-01
2.800000000000000266e-01,6.182046089591404225e-01,5.365966844251157664e-01,8.185061310109045252e-01,6.977958623567782626e-01,8.921101584016899455e-01
2.999999999999999889e-01,2.421352476409281695e-01,4.300051182238874836e-01,8.870114322650133332e-01,8.341397586868349867e-01,9.473822632084951678e-01
3.200000000000000067e-01,7.185567230287939200e-01,4.705171841451303849e-01,6.902922571833187693e-01,7.752528590239362583e-01,6.708878869225227692e-01
3.400000000000000244e-01,4.617731345699234158e-01,4.492951960780049991e-01,7.944744632138547313e-01,8.543003546323592046e-01,6.859006144633714719e-01
3.599999999999999867e-01,6.861056309794968389e-01,4.405483755527431211e-01,7.419393146248779436e-01,7.398583466576469370e-01,7.662341439802143883e-01
3.800000000000000044e-01,3.739572820871855940e-01,3.952225703779815857e-01,6.541450330466345164e-01,6.645222329054085719e-01,8.617659266178514521e-01
4.000000000000000222e-01,5.561984855572588149e-01,4.526341062496584966e-01,6.754430564383331337e-01,6.617480291012095561e-01,8.786888674418510403e-01
4.199999999999999845e-01,7.347671192990090638e-01,4.206175482577923508e-01,7.341395836828051857e-01,1.101128702411686922e+00,5.918711429152623271e-01
