t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
0.000000000000000000e+00,9.999999999997366551e-01,9.999999999998636646e-01,9.999999999996638245e-01,1.000000000000109912e+00,9.999999999997366551e-01,1.000000000000472955e+00,1.000000000000005107e+00,1.000000000000178524e+00,9.999999999996104227e-01,1.000000000000022427e+00
1.000000000000000021e-02,1.792141613059566180e-02,6.921291641776373682e-01,1.716297016969336453e-01,-9.641181103600026531e-03,4.896877780092462884e-01,3.406447101772240860e-01,1.367679592679437450e-01,8.361778452368092904e-03,4.610274099586030849e-01,-2.671255172677597725e-02
2.000000000000000042e-02,-1.495734122587582041e-04,5.527866922795353632e-01,2.099759333199077982e-01,4.740675056349478722e-01,5.919460445699877837e-01,5.612600029326308970e-01,-4.240053927355527143e-03,1.495439816570753311e-01,4.536968804993258830e-01,3.044640842773570916e-02
2.999999999999999889e-02,1.731744326462310302e-02,3.718110703472940481e-01,4.135848938562709520e-01,1.099341430175170414e-01,5.061900700662410602e-01,3.030091035764236884e-01,2.129415481172145519e-01,8.918907301386558295e-02,1.628308962906828972e-01,1.093273917312046900e-01
4.000000000000000083e-02,1.560328303003309380e-01,8.400722816456884789e-01,2.362853257733113499e-01,-4.760097395159886696e-02,4.309830510976374041e-01,2.720890765691318935e-01,4.700125030822605021e-01,1.113929485450191326e-01,2.165902430199499185e-01,7.312148361052085883e-03
5.000000000000000278e-02,1.258897150131702176e-02,4.258975874185033650e-01,2.902010218281539378e-01,2.618851270162474432e-01,5.739503112411967756e-01,8.728820479498435037e-02,1.128747883477196762e-01,5.481502050807428306e-02,2.620750637310447773e-01,3.314118488150787079e-02
5.999999999999999778e-02,5.490232387929941046e-03,3.679953436533718869e-01,2.642733776711794769e-01,8.565217855743496866e-02,7.454064816458507714e-01,7.496599312260925074e-02,3.670878435895947312e-01,2.724688878904588107e-01,2.113805100273543069e-01,9.722139859539931372e-02
7.000000000000000666e-02,4.145615811503773640e-04,6.820816844693619041e-01,2.394968420061388270e-01,1.711336762303385106e-01,6.184310173346752038e-01,3.262971795653875628e-01,1.991701105800523508e-01,1.242643254620687775e-02,2.691928951874068554e-01,1.308754773579751118e-01
8.000000000000000167e-02,2.971092182322132569e-02,4.953517885906617013e-01,4.945191412399236319e-01,3.442005349820868587e-01,5.498599898398738306e-01,4.060977041509009067e-01,5.527639187265737108e-01,1.031519009196440878e-01,1.866916573288822656e-01,3.532454458685111431e-01
8.999999999999999667e-02,3.853768513228367221e-02,7.994764935310223475e-01,8.341159856750052226e-01,3.012697148015122672e-01,1.383383375556362926e-01,2.988132648613308073e-01,3.862919933712437581e-01,5.884961602843558071e-01,4.324247567719596841e-01,2.533411612861445963e-02
1.000000000000000056e-01,4.600640876813630320e-02,5.324761674401311540e-01,1.517424899720234976e-01,2.133916919937200313e-02,5.587995399553249420e-01,3.213658076137270725e-01,1.146240761355849513e-01,1.929172547397687842e-01,1.459715889998047522e-01,1.465409106954067564e-01
1.100000000000000006e-01,1.704229349857664180e-02,6.491553344907814438e-01,7.178242779349557345e-01,-1.916654724678763244e-01,5.801036610259450166e-01,9.015963520259859809e-01,1.998541011397819700e-01,3.870412355047684327e-01,3.037521509959641430e-01,2.476279310682593174e-02
1.199999999999999956e-01,1.063457098694773825e-02,6.995999533389901659e-01,6.725366282311618926e-01,4.092648951178056715e-01,5.925177508089475298e-01,4.637538056216394811e-01,1.253733395445592314e-01,7.943965723678438062e-02,3.317248550231260418e-01,4.063059528807163034e-01
1.300000000000000044e-01,1.022609051580884373e-03,3.980871531955912923e-01,1.268950906395152067e-01,8.709236095911512820e-02,5.135957302149666281e-01,8.793615829506978843e-02,2.069375178167497387e-01,1.453375832610613871e-01,2.054492175693374556e-01,9.629861487621472690e-03
1.400000000000000133e-01,-3.889689725613538346e-02,9.145992804851571512e-01,6.474493946525569088e-01,9.833415864423721009e-02,2.051055357200876339e-01,5.754522622849729541e-02,2.844195543972308782e-01,8.685087156435671030e-02,1.713006803800127542e-01,-9.990894522544049861e-02
1.499999999999999944e-01,5.228321882888975654e-03,6.086992965110517018e-01,9.329472156703683128e-02,1.936941616782682229e-01,3.420790589796464665e-01,4.454484006664380935e-01,2.937403442900527253e-02,1.305991439866516779e-01,2.335955389516911895e-01,1.843528123890240261e-02
1.600000000000000033e-01,2.822680990776245055e-02,7.040743868609853351e-01,4.075739846207402928e-01,1.219960884807212570e-01,3.729386204162707386e-01,2.298882117569847061e-01,1.464576723689679227e-01,5.976228595301768393e-02,8.957884666373415461e-02,4.524298690423309011e-02
