t,avg_L
0.000000000000000000e+00,9.999999999981328269e-01
1.000000000000000021e-02,6.223154998369289093e-01
2.000000000000000042e-02,6.844336661212635509e-01
2.999999999999999889e-02,5.287162369978259946e-01
4.000000000000000083e-02,4.438619554050685645e-01
5.000000000000000278e-02,5.651354560712249508e-01
5.999999999999999778e-02,7.591995601892683743e-01
7.000000000000000666e-02,7.763030230948612109e-01
8.000000000000000167e-02,7.206983663022614728e-01
8.999999999999999667e-02,5.608478841359111344e-01
1.000000000000000056e-01,5.337744254709807512e-01
1.100000000000000006e-01,4.113146802956861858e-01
1.199999999999999956e-01,5.107252049055558407e-01
1.300000000000000044e-01,7.184969583722315978e-01
1.400000000000000133e-01,5.117039807625340941e-01
1.499999999999999944e-01,6.765567240765496537e-01
1.600000000000000033e-01,5.240599195437194435e-01
1.700000000000000122e-01,5.798475429959666361e-01
1.799999999999999933e-01,3.963404089100601158e-01
1.900000000000000022e-01,7.459107599206122874e-01
2.000000000000000111e-01,6.518888832000161448e-01
2.099999999999999922e-01,4.660621814295153875e-01
2.200000000000000011e-01,3.692222282909635167e-01
2.300000000000000100e-01,4.580946726122520074e-01
2.399999999999999911e-01,5.030073130578457397e-01
2.500000000000000000e-01,7.332149973257771070e-01
2.600000000000000089e-01,5.002057458839768156e-01
2.700000000000000178e-01,1.654534701887492298e-01
2.800000000000000266e-01,6.212942109756399711e-01
2.899999999999999800e-01,6.199562338259430039e-01
2.999999999999999889e-01,3.163745579577604827e-01
3.099999999999999978e-01,5.299070828147470769e-01
3.200000000000000067e-01,6.541155074628706156e-01
3.300000000000000155e-01,6.170769814137186948e-01
3.400000000000000244e-01,6.041265231218779785e-01
3.500000000000000333e-01,4.948467661605702173e-01
3.599999999999999867e-01,3.643604166126316324e-01
3.699999999999999956e-01,5.866008193215607180e-01
3.800000000000000044e-01,4.809878592987441581e-01
3.900000000000000133e-01,6.154754396420829554e-01
4.000000000000000222e-01,3.994575536555743933e-01
4.100000000000000311e-01,4.667533585248918593e-01
4.199999999999999845e-01,4.405525946742823162e-01
4.299999999999999933e-01,2.948004849279110551e-01
4.400000000000000022e-01,4.149218383641666286e-01
4.500000000000000111e-01,4.693356735109502909e-01
4.600000000000000200e-01,3.673396015621085975e-01
4.700000000000000289e-01,4.656393540124972308e-01
4.799999999999999822e-01,4.190825598861163126e-01
4.899999999999999911e-01,3.840345402945619657e-01
5.000000000000000000e-01,3.887903199585621139e-01
5.100000000000000089e-01,4.225006192916846981e-01
5.200000000000000178e-01,2.513227880481096466e-01
5.300000000000000266e-01,4.092760832133987003e-01
5.400000000000000355e-01,3.983065168672595413e-01
5.500000000000000444e-01,3.654438854176097484e-01
5.600000000000000533e-01,1.444132438365829940e-01
5.700000000000000622e-01,2.725391850043140107e-01
5.799999999999999600e-01,3.252938406373371283e-01
5.899999999999999689e-01,4.725017917356573172e-01
5.999999999999999778e-01,1.981848763535495328e-01
6.099999999999999867e-01,2.536470791702323258e-01
6.199999999999999956e-01,2.340714910836295404e-01
6.300000000000000044e-01,3.166399413636472593e-01
6.400000000000000133e-01,2.976241048756017582e-01
6.500000000000000222e-01,2.373109969180267620e-01
6.600000000000000311e-01,3.453546938419408407e-01
6.700000000000000400e-01,3.727953974912319723e-01
6.800000000000000488e-01,2.856743844546672517e-01
6.900000000000000577e-01,1.814388637937692228e-01
7.000000000000000666e-01,2.354791322852659019e-01
7.099999999999999645e-01,3.369090008548764059e-01
7.199999999999999734e-01,3.541099383645837095e-01
7.299999999999999822e-01,2.271451475122546748e-01
7.399999999999999911e-01,2.717712942274982946e-01
7.500000000000000000e-01,2.549631940093991522e-01
7.600000000000000089e-01,2.498947471071210624e-01
7.700000000000000178e-01,2.312264203468289425e-01
7.800000000000000266e-01,1.505846631509839550e-01
7.900000000000000355e-01,2.409237966830172772e-01
8.000000000000000444e-01,1.944331927964043916e-01
8.100000000000000533e-01,1.792191626278515915e-01
8.200000000000000622e-01,2.604585313214343723e-01
8.300000000000000711e-01,1.636380581309581361e-01
8.399999999999999689e-01,2.669115727397020077e-01
8.499999999999999778e-01,1.438133141965641515e-01
8.599999999999999867e-01,2.005952451173404483e-01
8.699999999999999956e-01,1.836136485599455526e-01
8.800000000000000044e-01,1.284163981814784306e-01
8.900000000000000133e-01,1.479534266790323849e-01
9.000000000000000222e-01,2.126335224703386206e-01
9.100000000000000311e-01,2.017243043086909826e-01
9.200000000000000400e-01,1.855501743167417283e-01
9.300000000000000488e-01,1.598495325383242904e-01
9.400000000000000577e-01,1.609381620983810768e-01
9.500000000000000666e-01,1.269428713790552443e-01
9.599999999999999645e-01,1.330443766374432846e-01
9.699999999999999734e-01,1.249376998887334334e-01
9.799999999999999822e-01,2.060013937721605071e-01
9.899999999999999911e-01,1.530743271660965354e-01
1.000000000000000000e+00,1.176354457892970495e-01
1.010000000000000009e+00,1.429224312708727573e-01
1.020000000000000018e+00,1.066805646158977133e-01
1.030000000000000027e+00,1.170544479724702491e-01
1.040000000000000036e+00,1.367962554888954019e-01
1.050000000000000044e+00,1.420539281311440916e-01
1.060000000000000053e+00,1.480357095213674368e-01
1.070000000000000062e+00,1.363758573305807742e-01
1.080000000000000071e+00,1.247448183559443091e-01
1.090000000000000080e+00,1.072084797816440366e-01
1.100000000000000089e+00,8.320190142890857010e-02
1.110000000000000098e+00,1.116739683428091962e-01
1.120000000000000107e+00,9.342906021827498964e-02
1.130000000000000115e+00,1.116346503072441487e-01
1.140000000000000124e+00,1.383710570642827098e-01
1.150000000000000133e+00,6.922160137576832684e-02
1.159999999999999920e+00,7.611056223578967217e-02
1.169999999999999929e+00,8.288642204690155335e-02
1.179999999999999938e+00,1.018901534035039635e-01
1.189999999999999947e+00,8.383823019442426805e-02
1.199999999999999956e+00,7.573877239520171445e-02
1.209999999999999964e+00,6.256156501141035831e-02
1.219999999999999973e+00,7.417102696403965467e-02
1.229999999999999982e+00,9.708178109310079684e-02
1.239999999999999991e+00,7.829938122601190487e-02
1.250000000000000000e+00,6.567888218918524479e-02
1.260000000000000009e+00,7.357266682445899597e-02
1.270000000000000018e+00,7.004024215021788236e-02
1.280000000000000027e+00,4.594668924046772795e-02
1.290000000000000036e+00,6.752582252409447539e-02
1.300000000000000044e+00,7.021583504206202475e-02
1.310000000000000053e+00,5.473872016513289807e-02
1.320000000000000062e+00,3.696157089299746679e-02
1.330000000000000071e+00,5.232317905081218523e-02
1.340000000000000080e+00,3.608624487980365003e-02
1.350000000000000089e+00,4.875493421140687789e-02
1.360000000000000098e+00,3.284447039055664319e-02
1.370000000000000107e+00,6.643564514349885319e-02
1.380000000000000115e+00,4.439332917792238736e-02
1.390000000000000124e+00,4.925991241872346160e-02
1.400000000000000133e+00,5.704792774029250613e-02
1.409999999999999920e+00,4.805746932094261126e-02
1.419999999999999929e+00,4.922936793483932705e-02
1.429999999999999938e+00,5.645028724933737196e-02
1.439999999999999947e+00,3.734551794397043128e-02
1.449999999999999956e+00,4.257522278102360280e-02
1.459999999999999964e+00,4.472710667990030531e-02
1.469999999999999973e+00,3.976225978721589782e-02
1.479999999999999982e+00,3.130407798939795205e-02
1.489999999999999991e+00,3.224067605857450919e-02
1.500000000000000000e+00,1.888209400421614337e-02
1.510000000000000009e+00,2.125232607593318529e-02
1.520000000000000018e+00,2.926849612264716127e-02
1.530000000000000027e+00,2.882766851311165807e-02
1.540000000000000036e+00,2.828024747562331298e-02
1.550000000000000044e+00,1.497994730614202880e-02
1.560000000000000053e+00,3.257638868690461431e-02
1.570000000000000062e+00,1.981782420193742983e-02
1.580000000000000071e+00,3.792539471976907883e-02
1.590000000000000080e+00,1.418184711529681813e-02
1.600000000000000089e+00,1.655662894920439943e-02
1.610000000000000098e+00,1.811699901465359600e-02
1.620000000000000107e+00,1.668696114447993165e-02
1.630000000000000115e+00,9.913049495756023205e-03
1.640000000000000124e+00,1.186005203786788531e-02
1.650000000000000133e+00,1.372177102551223708e-02
1.660000000000000142e+00,1.849076088267816859e-02
1.669999999999999929e+00,7.631206183589550433e-03
1.679999999999999938e+00,8.738379261836608930e-03
1.689999999999999947e+00,4.991158051143064489e-03
1.699999999999999956e+00,5.610431572024454638e-03
1.709999999999999964e+00,8.750567400757195552e-03
