t,traj_0,traj_1,traj_2,traj_3,traj_4
0.000000000000000000e+00,9.999999999999973355e-01,9.999999999999722444e-01,1.000000000000019984e+00,1.000000000000051514e+00,1.000000000000010880e+00
2.000000000000000042e-02,8.157409247705917910e-01,8.216927045870879853e-01,8.209791967478606844e-01,7.075305379069196654e-01,7.286420666214484809e-01
4.000000000000000083e-02,7.566271295469845226e-01,7.601700938713453759e-01,7.591598874861084090e-01,8.304365467000149881e-01,6.206026689419192888e-01
5.999999999999999778e-02,7.711095498428242045e-01,7.753301850740513812e-01,7.740617911969372988e-01,7.347715089789143006e-01,7.793449437260703272e-01
8.000000000000000167e-02,8.403726253766081733e-01,8.585058745263611790e-01,8.532309192533429343e-01,6.479622490242128441e-01,6.273648463829225586e-01
1.000000000000000056e-01,9.572736317042688237e-01,9.983845233733976698e-01,9.898520176794917136e-01,7.934369420562794595e-01,6.176655023619727070e-01
1.199999999999999956e-01,7.283200465608385965e-01,7.837405066904984396e-01,7.728851660283641012e-01,8.397107603417638400e-01,9.683686667636544065e-01
1.400000000000000133e-01,6.536685464009176494e-01,7.470501693210033212e-01,7.291428071923914400e-01,1.039416871857601565e+00,6.663595470451871838e-01
1.600000000000000033e-01,6.468712858729450677e-01,7.904337711259979971e-01,7.639917444216000053e-01,6.881166112882667329e-01,6.428747518662281113e-01
1.799999999999999933e-01,6.670468860834336544e-01,8.902359234039540770e-01,8.543914961826826193e-01,7.744839175453818170e-01,6.945554398733753132e-01
2.000000000000000111e-01,6.605780030320128615e-01,9.895322546861020641e-01,9.440958191816216649e-01,6.250701102695620515e-01,4.291134860129540152e-01
2.200000000000000011e-01,4.427560320094079960e-01,7.399846890694836699e-01,7.042755987507973714e-01,9.823555881932893863e-01,7.798799778647693692e-01
2.399999999999999911e-01,3.890182399781834111e-01,7.308738113327237773e-01,6.939384706972601125e-01,7.830141676723328947e-01,7.704246766115313561e-01
2.600000000000000089e-01,3.817485348457763106e-01,7.980630831279547088e-01,7.583961699811507806e-01,5.997495102927575816e-01,5.364640353637057935e-01
2.800000000000000266e-01,4.018657878019693541e-01,9.054317785897909587e-01,8.728044895602516950e-01,6.337390137234126808e-01,5.967640346066482859e-01
2.999999999999999889e-01,4.120798088248098789e-01,9.649047168812603381e-01,9.468547015337824835e-01,7.968146272963654297e-01,4.066492540865967453e-01
3.200000000000000067e-01,2.909092517099341468e-01,6.860922161185003532e-01,6.809868935769418652e-01,9.657136209857415388e-01,6.468256835908362534e-01
3.400000000000000244e-01,3.108265486254853660e-01,7.043776483207632166e-01,6.990885846191620123e-01,9.531171392412384202e-01,6.786829021000183593e-01
3.599999999999999867e-01,3.680645032612634426e-01,7.910945618223663711e-01,7.778865621664898811e-01,6.741712311644272315e-01,6.240293228383779756e-01
3.800000000000000044e-01,4.444910649349700926e-01,8.954886320801577204e-01,8.715426703306756728e-01,6.253753008949516357e-01,4.699082851939713201e-01
